nMC	Rp	Porb	Mp	ecc	inc	Omega	omega	theta	Abond	AgeomVIS	AgeomMIR	zodis	a	rp	ang_sep	ang_sep_max	Finc	f	Tp	nstar	Rs	Ms	Ts	dist	stype	ra	dec	lGal	bGal	name	
Nuniverse	Rp	Porb	Mp	ep	ip	Omegap	omegap	thetap	Abond	AgeomVIS	AgeomMIR	z	ap	rp	AngSep	maxAngSep	Fp	fp	Tp	Nstar	Rs	Ms	Ts	Ds	Stype	RA	Dec	lGal	bGal	name	
0	0.54231	4.94282	0.27079	0.00000	0.66735	2.14593	2.10076	4.25830	0.46966	0.32056	0.08937	2.69762	0.06246	0.06246	0.00342	0.00342	884.31052	0.29520	1295.22103	6	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	*212PupA
0	1.76680	9.79447	8.12718	0.00000	0.66735	0.25593	1.00462	2.95884	0.73721	0.36056	0.01802	2.69762	0.09853	0.09853	0.00481	0.00540	355.30172	0.57826	865.17884	6	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	*212PupA
0	1.78907	59.09871	11.56315	0.00000	0.66735	6.08800	3.82471	1.06633	0.20012	0.04053	0.06023	2.69762	0.32657	0.32657	0.01419	0.01789	32.34455	0.68395	627.71134	6	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	*212PupA
0	1.14414	497.57249	1.48349	0.00000	0.66735	0.83572	1.73191	5.61174	0.67865	0.42647	0.00844	2.69762	1.35153	1.35153	0.06231	0.07403	1.88841	0.09595	245.65324	6	1.46000	1.33000	6510.00000	18.25634	F	118.06526	-34.70544	250.26404	-3.88280	*212PupA
0	3.28923	78.59717	9.59409	0.00000	1.15074	0.74829	2.54249	0.03665	0.21371	0.47345	0.01645	0.69531	0.32336	0.32336	0.01538	0.01761	2.17976	0.11339	318.45737	7	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	*212PupB
0	0.63086	151.22721	0.16122	0.00000	1.15074	2.22900	2.63581	1.70532	0.20153	0.11598	0.06451	0.69531	0.50022	0.50022	0.01431	0.02724	0.91084	0.86828	257.02740	7	0.72000	0.73000	4700.00000	18.36325	K	118.06398	-34.70549	250.26354	-3.88373	*212PupB
0	0.59435	321.65455	0.12059	0.00000	2.50377	3.76429	5.33118	2.26408	0.34385	0.11741	0.02492	7.00331	0.98977	0.98977	0.05802	0.07095	2.74843	0.08486	322.53422	8	1.36000	1.25000	6340.00000	13.95054	F	48.01887	-28.98762	224.73041	-59.03032	*alfForA
0	0.71843	499.66660	2.20006	0.00000	2.50377	3.42057	0.46664	0.19224	0.32903	0.39816	0.01532	7.00331	1.32758	1.32758	0.08861	0.09516	1.52767	0.15743	280.05112	8	1.36000	1.25000	6340.00000	13.95054	F	48.01887	-28.98762	224.73041	-59.03032	*alfForA
0	1.95526	144.95358	6.46922	0.00000	2.02806	3.59887	6.15058	0.46088	0.75956	0.51933	0.00242	0.57780	0.53278	0.53278	0.03628	0.03790	2.67336	0.18708	249.21200	9	0.94900	0.96000	5530.00000	14.05916	G	48.01750	-28.98695	224.72890	-59.03145	*alfForB
0	0.89006	212.28181	1.51458	0.00000	2.02806	5.27724	0.83198	5.49953	0.45710	0.03950	0.03017	0.57780	0.68707	0.68707	0.04882	0.04887	1.60748	0.29694	269.01131	9	0.94900	0.96000	5530.00000	14.05916	G	48.01750	-28.98695	224.72890	-59.03145	*alfForB
0	1.03903	50.88983	1.00030	0.00000	2.26582	5.82014	5.69733	1.26921	0.28034	0.42647	0.07683	375.58423	0.28953	0.28953	0.02836	0.03243	32.11910	0.11406	610.27569	10	1.36000	1.25000	6340.00000	8.92698	F	86.11580	-22.44838	226.79576	-24.27310	*gamLep
