round	design	scenario	target_yr	n	n_infeasible	t0_mean	t0_sd	z_between	ep_mean	ep_relsd_pct
1	bracewell4	hab2max	4.632	20	1	4.43029	0.10148768605625333	1.9875317670381618	298.51324210526315	38.66783495048236
1	bracewell4	hab2min	6.665	20	1	6.324990000000001	0.16963836737074112	2.0043225201343438	328.9569105263158	43.13343982082537
1	triple6	hab2max	3.148	20	3	3.0277900000000004	0.05995472765696675	2.0050128605001056	164.69189411764705	39.861953768416484
1	bracewell4	hab2max	4.733	20	0	4.43029	0.10148768605625333	2.982726395320621	449.60772	30.482792027589017
1	bracewell4	hab2min	6.835	20	0	6.324990000000001	0.16963836737074112	3.0064543057372344	481.42539999999997	36.99694501692141
1	bracewell4	hab2min	7.5	20	0	6.324990000000001	0.16963836737074112	6.926558055301485	1119.652575	18.776188303119323
1	bracewell4	hab2max	5.5	20	0	4.43029	0.10148768605625333	10.540293522970591	1670.8525300000001	12.26395402215667
1	bracewell4	hab2max	6.0	20	0	4.43029	0.10148768605625333	15.466999603576827	2470.87392	8.692857566627293
1	triple6	hab2max	4.5	20	0	3.0277900000000004	0.05995472765696675	24.555361312343955	2250.079955	8.608001866305285
2	bracewell4	hab2min	7.5	20	20	7.9230149999999995	0.19910451969545517	-2.1245876318982195	0.0	
2	bracewell4	hab2max	5.5	20	18	5.650165	0.13845753396087293	-1.084556366881674	67.69194999999999	
2	bracewell4	hab2max	6.0	20	0	5.650165	0.13845753396087293	2.5266591856161504	355.589525	38.18484519780653
2	triple6	hab2max	4.5	20	0	3.869415	0.11325046427231424	5.568056643756787	526.78942	21.187750011860064
