design	catalog	replicate	zero_budget_mtime_yr
triple6	hab2hi	0	3.579600
triple6	hab2hi	1	3.475717
triple6	hab2hi	2	3.702353
triple6	hab2hi	3	3.616162
triple6	hab2hi	4	3.659072
triple6	hab2hi	5	3.711971
triple6	hab2hi	6	3.779732
triple6	hab2hi	7	3.776405
triple6	hab2hi	8	3.775087
triple6	hab2hi	9	3.457441
triple6	hab2hi	10	3.643285
triple6	hab2hi	11	3.531136
triple6	hab2hi	12	3.618139
triple6	hab2hi	13	3.658549
