design	catalog	replicate	zero_budget_mtime_yr
triple6	hab2lo	0	5.035150
triple6	hab2lo	1	5.178083
triple6	hab2lo	2	4.731262
triple6	hab2lo	3	5.016220
triple6	hab2lo	4	5.217085
triple6	hab2lo	5	5.083666
triple6	hab2lo	6	4.997283
triple6	hab2lo	7	5.068957
triple6	hab2lo	8	4.821538
triple6	hab2lo	9	4.836431
triple6	hab2lo	10	5.084048
triple6	hab2lo	11	4.745815
triple6	hab2lo	12	4.617890
triple6	hab2lo	13	4.879870
