design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2lo	5.5	short_weighted	0	369.5024	5.4693	222.3
triple6	hab2lo	5.5	short_weighted	1	334.7019	5.5238	178.8
triple6	hab2lo	5.5	short_weighted	2	744.0408	5.5313	209.5
triple6	hab2lo	5.5	short_weighted	3	370.5523	5.4510	265.0
triple6	hab2lo	5.5	short_weighted	4	207.7954	5.4560	253.1
triple6	hab2lo	5.5	short_weighted	5	585.5663	5.5378	196.9
triple6	hab2lo	5.5	short_weighted	6	223.3866	5.4767	287.6
triple6	hab2lo	5.5	short_weighted	7	473.8749	5.5204	365.9
triple6	hab2lo	5.5	short_weighted	8	608.9573	5.5397	273.2
triple6	hab2lo	5.5	short_weighted	9	700.3836	5.5415	207.8
triple6	hab2lo	5.5	short_weighted	10	348.4191	5.4837	210.5
triple6	hab2lo	5.5	short_weighted	11	702.5281	5.5270	217.1
triple6	hab2lo	5.5	short_weighted	12	738.7909	5.5354	301.0
triple6	hab2lo	5.5	short_weighted	13	452.5012	5.5265	248.8
