design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2hi	6.0	long_weighted	0	1250.1853	6.0195	415.3
bracewell4	hab2hi	6.0	long_weighted	1	2060.2632	5.9590	232.9
bracewell4	hab2hi	6.0	long_weighted	2	960.4744	6.0113	250.0
bracewell4	hab2hi	6.0	long_weighted	3	1542.2052	6.0109	241.2
bracewell4	hab2hi	6.0	long_weighted	4	1902.1482	6.0334	208.7
bracewell4	hab2hi	6.0	long_weighted	5	1032.0401	6.0056	204.9
bracewell4	hab2hi	6.0	long_weighted	6	1059.4655	6.0444	287.9
bracewell4	hab2hi	6.0	long_weighted	7	913.5163	5.9730	251.0
bracewell4	hab2hi	6.0	long_weighted	8	876.5818	6.0085	210.8
bracewell4	hab2hi	6.0	long_weighted	9	1616.2613	5.9892	242.9
bracewell4	hab2hi	6.0	long_weighted	10	1282.2780	5.9635	204.2
bracewell4	hab2hi	6.0	long_weighted	11	1700.4344	6.0120	252.2
bracewell4	hab2hi	6.0	long_weighted	12	1411.3354	5.9727	239.7
bracewell4	hab2hi	6.0	long_weighted	13	1095.4385	6.0000	249.6
