design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2lo	6.0	flat	0	642.2650	6.0413	218.0
triple6	hab2lo	6.0	flat	1	457.6150	6.0451	208.6
triple6	hab2lo	6.0	flat	2	703.2421	5.9873	239.9
triple6	hab2lo	6.0	flat	3	538.4959	5.9885	210.6
triple6	hab2lo	6.0	flat	4	389.1279	6.0302	250.8
triple6	hab2lo	6.0	flat	5	646.9579	6.0332	225.9
triple6	hab2lo	6.0	flat	6	611.9106	5.9709	227.7
triple6	hab2lo	6.0	flat	7	396.6220	6.0089	291.5
triple6	hab2lo	6.0	flat	8	680.8357	6.0195	214.6
triple6	hab2lo	6.0	flat	9	742.8898	6.0152	183.7
triple6	hab2lo	6.0	flat	10	618.3639	6.0056	185.3
triple6	hab2lo	6.0	flat	11	672.0567	5.9702	241.0
triple6	hab2lo	6.0	flat	12	739.7630	5.9921	269.6
triple6	hab2lo	6.0	flat	13	578.1356	6.0413	209.9
