design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2hi	4.0	short_weighted	0	589.2752	4.0356	276.3
triple6	hab2hi	4.0	short_weighted	1	1101.3464	4.0231	235.2
triple6	hab2hi	4.0	short_weighted	2	484.7790	4.0207	230.1
triple6	hab2hi	4.0	short_weighted	3	741.6851	4.0240	224.1
triple6	hab2hi	4.0	short_weighted	4	754.9865	4.0442	191.7
triple6	hab2hi	4.0	short_weighted	5	553.5866	4.0091	195.4
triple6	hab2hi	4.0	short_weighted	6	214.4492	4.0028	240.8
triple6	hab2hi	4.0	short_weighted	7	534.7381	4.0416	188.5
triple6	hab2hi	4.0	short_weighted	8	157.6510	3.9921	257.8
triple6	hab2hi	4.0	short_weighted	9	801.2310	4.0495	228.0
triple6	hab2hi	4.0	short_weighted	10	612.4284	4.0132	233.1
triple6	hab2hi	4.0	short_weighted	11	736.2372	4.0169	234.2
triple6	hab2hi	4.0	short_weighted	12	505.4246	4.0206	274.2
triple6	hab2hi	4.0	short_weighted	13	750.4718	4.0266	191.2
