design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2hi	6.0	flat	0	637.0889	6.0204	294.1
bracewell4	hab2hi	6.0	flat	1	1109.7195	6.0407	235.5
bracewell4	hab2hi	6.0	flat	2	405.2438	6.0459	327.6
bracewell4	hab2hi	6.0	flat	3	826.5379	5.9772	243.6
bracewell4	hab2hi	6.0	flat	4	946.1726	6.0358	246.9
bracewell4	hab2hi	6.0	flat	5	564.3447	6.0232	205.6
bracewell4	hab2hi	6.0	flat	6	471.1940	6.0114	245.8
bracewell4	hab2hi	6.0	flat	7	604.3107	6.0376	205.9
bracewell4	hab2hi	6.0	flat	8	369.7879	5.9705	256.4
bracewell4	hab2hi	6.0	flat	9	1015.0456	5.9726	244.0
bracewell4	hab2hi	6.0	flat	10	788.9434	6.0342	203.1
bracewell4	hab2hi	6.0	flat	11	901.0551	5.9967	252.5
bracewell4	hab2hi	6.0	flat	12	721.5008	6.0171	235.9
bracewell4	hab2hi	6.0	flat	13	693.4252	6.0401	216.6
