design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2lo	5.5	long_weighted	0	526.9579	5.4883	256.8
triple6	hab2lo	5.5	long_weighted	1	428.5903	5.4845	175.9
triple6	hab2lo	5.5	long_weighted	2	1301.0267	5.5017	217.9
triple6	hab2lo	5.5	long_weighted	3	570.4688	5.4891	237.7
triple6	hab2lo	5.5	long_weighted	4	343.4726	5.5143	255.2
triple6	hab2lo	5.5	long_weighted	5	656.2319	5.4963	186.7
triple6	hab2lo	5.5	long_weighted	6	670.3877	5.5288	223.7
triple6	hab2lo	5.5	long_weighted	7	640.8771	5.5488	178.5
triple6	hab2lo	5.5	long_weighted	8	1070.5533	5.5493	207.6
triple6	hab2lo	5.5	long_weighted	9	1008.2654	5.4868	205.5
triple6	hab2lo	5.5	long_weighted	10	842.8542	5.4779	207.9
triple6	hab2lo	5.5	long_weighted	11	1079.9545	5.4743	210.7
triple6	hab2lo	5.5	long_weighted	12	1313.9000	5.5090	218.6
triple6	hab2lo	5.5	long_weighted	13	703.2954	5.5451	225.0
