design	catalog	replicate	zero_budget_mtime_yr
bracewell4	hab2hi	0	5.335317
bracewell4	hab2hi	1	4.968501
bracewell4	hab2hi	2	5.484294
bracewell4	hab2hi	3	5.227834
bracewell4	hab2hi	4	5.105891
bracewell4	hab2hi	5	5.498443
bracewell4	hab2hi	6	5.510022
bracewell4	hab2hi	7	5.483718
bracewell4	hab2hi	8	5.540258
bracewell4	hab2hi	9	5.168692
bracewell4	hab2hi	10	5.426923
bracewell4	hab2hi	11	5.172715
bracewell4	hab2hi	12	5.255731
bracewell4	hab2hi	13	5.496622
