design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2hi	4.5	long_weighted	0	2182.5390	4.5498	290.8
triple6	hab2hi	4.5	long_weighted	1	2693.4583	4.4551	260.8
triple6	hab2hi	4.5	long_weighted	2	1947.0103	4.5056	271.0
triple6	hab2hi	4.5	long_weighted	3	2274.0089	4.5096	264.0
triple6	hab2hi	4.5	long_weighted	4	2131.6512	4.4869	264.0
triple6	hab2hi	4.5	long_weighted	5	1721.7637	4.4712	337.6
triple6	hab2hi	4.5	long_weighted	6	1922.4988	4.4830	242.2
triple6	hab2hi	4.5	long_weighted	7	1965.8191	4.4835	240.3
triple6	hab2hi	4.5	long_weighted	8	1200.7913	4.4526	235.3
triple6	hab2hi	4.5	long_weighted	9	2317.7635	4.4793	272.0
triple6	hab2hi	4.5	long_weighted	10	2080.8410	4.5079	248.9
triple6	hab2hi	4.5	long_weighted	11	2267.5863	4.5195	281.0
triple6	hab2hi	4.5	long_weighted	12	2212.8029	4.4920	260.5
triple6	hab2hi	4.5	long_weighted	13	2240.9583	4.4945	280.0
