design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2hi	6.0	short_weighted	0	1635.8206	6.0101	252.2
bracewell4	hab2hi	6.0	short_weighted	1	2644.7087	5.9817	277.1
bracewell4	hab2hi	6.0	short_weighted	2	1219.4948	6.0161	246.5
bracewell4	hab2hi	6.0	short_weighted	3	2152.8364	6.0184	244.5
bracewell4	hab2hi	6.0	short_weighted	4	1918.0768	5.9856	241.9
bracewell4	hab2hi	6.0	short_weighted	5	1361.1423	6.0124	208.6
bracewell4	hab2hi	6.0	short_weighted	6	1040.6901	5.9936	243.8
bracewell4	hab2hi	6.0	short_weighted	7	1430.8381	6.0167	214.3
bracewell4	hab2hi	6.0	short_weighted	8	942.9728	6.2511	495.4
bracewell4	hab2hi	6.0	short_weighted	9	2580.3801	5.9551	203.9
bracewell4	hab2hi	6.0	short_weighted	10	1906.6494	6.0122	204.9
bracewell4	hab2hi	6.0	short_weighted	11	2067.1958	6.0384	245.9
bracewell4	hab2hi	6.0	short_weighted	12	1642.0089	5.9511	247.5
bracewell4	hab2hi	6.0	short_weighted	13	1892.9867	5.9535	437.3
