design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2lo	8.0	flat	0	507.8190	8.0105	227.2
bracewell4	hab2lo	8.0	flat	1	384.5926	7.9997	256.3
bracewell4	hab2lo	8.0	flat	2	846.0304	8.0570	387.4
bracewell4	hab2lo	8.0	flat	3	427.9812	8.0116	202.9
bracewell4	hab2lo	8.0	flat	4	475.9302	8.0109	184.2
bracewell4	hab2lo	8.0	flat	5	642.4961	7.9756	262.1
bracewell4	hab2lo	8.0	flat	6	424.4103	8.1736	361.3
bracewell4	hab2lo	8.0	flat	7	649.1891	8.0208	217.6
bracewell4	hab2lo	8.0	flat	8	835.4575	8.0070	244.4
bracewell4	hab2lo	8.0	flat	9	559.5572	8.0372	249.8
bracewell4	hab2lo	8.0	flat	10	550.8282	8.0372	208.4
bracewell4	hab2lo	8.0	flat	11	816.4495	7.9502	203.8
bracewell4	hab2lo	8.0	flat	12	1070.9129	8.0009	238.8
bracewell4	hab2lo	8.0	flat	13	560.2868	7.9768	212.9
