design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
triple6	hab2hi	4.0	flat	0	398.1141	4.0367	240.0
triple6	hab2hi	4.0	flat	1	574.2778	3.9779	231.3
triple6	hab2hi	4.0	flat	2	314.6822	4.0434	195.1
triple6	hab2hi	4.0	flat	3	457.5093	4.0414	191.8
triple6	hab2hi	4.0	flat	4	352.1898	4.0241	228.0
triple6	hab2hi	4.0	flat	5	279.1780	3.9677	229.0
triple6	hab2hi	4.0	flat	6	182.3474	4.0439	200.0
triple6	hab2hi	4.0	flat	7	307.0796	4.0208	201.3
triple6	hab2hi	4.0	flat	8	121.5624	4.0019	227.3
triple6	hab2hi	4.0	flat	9	353.2729	4.0146	301.7
triple6	hab2hi	4.0	flat	10	323.3671	4.0092	235.5
triple6	hab2hi	4.0	flat	11	359.4154	4.0261	277.3
triple6	hab2hi	4.0	flat	12	433.6110	4.0245	197.2
triple6	hab2hi	4.0	flat	13	412.0113	3.9587	194.8
