design	catalog	target_yr	family	replicate	endpoint_ph_s_um	mtime_achieved_yr	wall_s
bracewell4	hab2lo	8.0	long_weighted	0	1067.9415	7.9922	220.5
bracewell4	hab2lo	8.0	long_weighted	1	851.0968	8.0349	222.9
bracewell4	hab2lo	8.0	long_weighted	2	1565.7055	8.0129	205.6
bracewell4	hab2lo	8.0	long_weighted	3	682.7950	8.0302	221.7
bracewell4	hab2lo	8.0	long_weighted	4	828.2211	7.9636	190.0
bracewell4	hab2lo	8.0	long_weighted	5	1321.6998	8.0490	181.7
bracewell4	hab2lo	8.0	long_weighted	6	1019.7986	8.0444	180.3
bracewell4	hab2lo	8.0	long_weighted	7	1252.1490	8.0219	177.4
bracewell4	hab2lo	8.0	long_weighted	8	1805.5597	8.0417	179.9
bracewell4	hab2lo	8.0	long_weighted	9	1104.4291	7.9953	212.1
bracewell4	hab2lo	8.0	long_weighted	10	1025.4219	7.9625	246.9
bracewell4	hab2lo	8.0	long_weighted	11	1468.8676	8.0482	379.4
bracewell4	hab2lo	8.0	long_weighted	12	2198.0030	8.0311	204.6
bracewell4	hab2lo	8.0	long_weighted	13	895.1103	7.9981	208.5
