design	catalog	replicate	zero_budget_mtime_yr	scheduler
bracewell4	hab2lo	200	7.010828	corrected
bracewell4	hab2lo	201	7.001829	corrected
bracewell4	hab2lo	202	7.017836	corrected
bracewell4	hab2lo	203	6.921937	corrected
bracewell4	hab2lo	204	6.797700	corrected
bracewell4	hab2lo	205	6.741259	corrected
bracewell4	hab2lo	206	6.749606	corrected
bracewell4	hab2lo	207	6.625384	corrected
bracewell4	hab2lo	208	7.037304	corrected
bracewell4	hab2lo	209	7.193280	corrected
bracewell4	hab2lo	210	6.748026	corrected
bracewell4	hab2lo	211	7.137466	corrected
bracewell4	hab2lo	212	7.030069	corrected
bracewell4	hab2lo	213	6.699982	corrected
bracewell4	hab2lo	214	6.920898	corrected
bracewell4	hab2lo	215	6.543192	corrected
bracewell4	hab2lo	216	6.839895	corrected
bracewell4	hab2lo	217	7.035977	corrected
bracewell4	hab2lo	218	7.025252	corrected
bracewell4	hab2lo	219	6.654195	corrected
bracewell4	hab2lo	220	6.970455	corrected
bracewell4	hab2lo	221	6.960470	corrected
bracewell4	hab2lo	222	6.824534	corrected
bracewell4	hab2lo	223	6.868122	corrected
bracewell4	hab2lo	224	7.053216	corrected
bracewell4	hab2lo	225	6.883617	corrected
bracewell4	hab2lo	226	7.028240	corrected
bracewell4	hab2lo	227	7.018139	corrected
bracewell4	hab2lo	228	7.096862	corrected
bracewell4	hab2lo	229	6.912510	corrected
bracewell4	hab2lo	230	7.042066	corrected
bracewell4	hab2lo	231	7.106475	corrected
bracewell4	hab2lo	232	6.666883	corrected
bracewell4	hab2lo	233	6.839728	corrected
bracewell4	hab2lo	234	6.960282	corrected
bracewell4	hab2lo	235	6.775309	corrected
bracewell4	hab2lo	236	7.209608	corrected
bracewell4	hab2lo	237	7.127539	corrected
bracewell4	hab2lo	238	6.972656	corrected
bracewell4	hab2lo	239	7.055127	corrected
bracewell4	hab2lo	240	6.725375	corrected
bracewell4	hab2lo	241	6.850372	corrected
bracewell4	hab2lo	242	7.090049	corrected
bracewell4	hab2lo	243	6.733911	corrected
bracewell4	hab2lo	244	6.888066	corrected
bracewell4	hab2lo	245	7.496231	corrected
bracewell4	hab2lo	246	6.983637	corrected
bracewell4	hab2lo	247	7.068900	corrected
bracewell4	hab2lo	248	7.126157	corrected
bracewell4	hab2lo	249	6.984435	corrected
bracewell4	hab2lo	250	6.605968	corrected
bracewell4	hab2lo	251	7.117636	corrected
bracewell4	hab2lo	252	7.035972	corrected
bracewell4	hab2lo	253	6.829255	corrected
bracewell4	hab2lo	254	7.039436	corrected
bracewell4	hab2lo	255	6.736455	corrected
bracewell4	hab2lo	256	7.235454	corrected
bracewell4	hab2lo	257	6.909425	corrected
bracewell4	hab2lo	258	6.961324	corrected
bracewell4	hab2lo	259	6.988984	corrected
bracewell4	hab2lo	260	6.844448	corrected
bracewell4	hab2lo	261	6.957106	corrected
bracewell4	hab2lo	262	7.026570	corrected
bracewell4	hab2lo	263	7.164184	corrected
bracewell4	hab2lo	264	6.588070	corrected
bracewell4	hab2lo	265	7.109728	corrected
bracewell4	hab2lo	266	7.034227	corrected
bracewell4	hab2lo	267	6.935330	corrected
bracewell4	hab2lo	268	7.070284	corrected
bracewell4	hab2lo	269	6.935435	corrected
bracewell4	hab2lo	270	6.968587	corrected
bracewell4	hab2lo	271	6.527292	corrected
bracewell4	hab2lo	272	7.119849	corrected
bracewell4	hab2lo	273	6.870593	corrected
bracewell4	hab2lo	274	7.061566	corrected
bracewell4	hab2lo	275	6.891929	corrected
bracewell4	hab2lo	276	7.291474	corrected
bracewell4	hab2lo	277	6.858396	corrected
bracewell4	hab2lo	278	6.986479	corrected
bracewell4	hab2lo	279	6.913658	corrected
bracewell4	hab2lo	280	7.083015	corrected
bracewell4	hab2lo	281	6.882411	corrected
bracewell4	hab2lo	282	6.967554	corrected
bracewell4	hab2lo	283	7.085513	corrected
bracewell4	hab2lo	284	7.218975	corrected
bracewell4	hab2lo	285	6.853984	corrected
bracewell4	hab2lo	286	7.149256	corrected
bracewell4	hab2lo	287	6.919046	corrected
bracewell4	hab2lo	288	6.929233	corrected
bracewell4	hab2lo	289	6.843889	corrected
bracewell4	hab2lo	290	6.949649	corrected
bracewell4	hab2lo	291	7.148237	corrected
bracewell4	hab2lo	292	6.915909	corrected
bracewell4	hab2lo	293	6.562179	corrected
bracewell4	hab2lo	294	6.857920	corrected
bracewell4	hab2lo	295	7.157344	corrected
bracewell4	hab2lo	296	7.106976	corrected
bracewell4	hab2lo	297	7.086219	corrected
bracewell4	hab2lo	298	7.138862	corrected
bracewell4	hab2lo	299	7.050850	corrected
