design	catalog	target_yr	family	n	median	mean	sd	rel_sd_pct	p16	p84	p2p5	p97p5	n_infeasible
kernel5_deep	hab2lo	8.5	long_weighted	50	1055.9	1089.6	211.5	19.4	860.6	1335.3	698.9	1432.8	0
kernel5_deep	hab2lo	8.5	short_weighted	50	663.7	692.4	162.6	23.5	525.3	813.6	433.6	1013.6	0
triple6	hab2hi	4.0	flat	100	432.9	421.6	101.2	24.0	311.8	514.5	211.5	608.3	0
triple6	hab2hi	4.0	long_weighted	100	1042.5	1076.7	239.2	22.2	879.8	1301.8	628.3	1600.9	0
triple6	hab2hi	4.0	short_weighted	100	741.9	731.5	193.4	26.4	540.5	906.2	367.6	1065.9	0
triple6	hab2hi	4.25	flat	50	694.8	687.1	103.2	15.0	579.0	793.7	492.0	869.3	0
triple6	hab2hi	4.25	long_weighted	50	1695.1	1710.7	272.3	15.9	1481.2	1953.6	1137.0	2273.7	0
triple6	hab2hi	4.25	short_weighted	50	1230.2	1235.2	205.3	16.6	1028.9	1414.5	830.6	1615.3	0
triple6	hab2hi	4.5	flat	300	983.5	992.5	145.3	14.6	854.0	1147.1	720.0	1277.3	0
triple6	hab2hi	4.5	long_weighted	300	2317.6	2339.0	310.1	13.3	2040.3	2647.3	1733.4	2974.4	0
triple6	hab2hi	4.5	short_weighted	300	1877.2	1889.2	307.3	16.3	1594.0	2188.8	1335.6	2528.7	0
triple6	hab2hi	4.75	flat	50	1305.9	1285.8	131.7	10.2	1145.9	1405.0	998.0	1526.2	0
triple6	hab2hi	4.75	long_weighted	50	2999.1	2946.2	306.1	10.4	2630.8	3195.7	2392.8	3604.4	0
triple6	hab2hi	4.75	short_weighted	50	2490.1	2463.2	276.3	11.2	2189.5	2747.2	1891.4	2945.8	0
triple6	hab2lo	5.25	flat	50	216.3	207.2	78.8	38.0	114.6	292.7	61.9	340.5	0
triple6	hab2lo	5.25	long_weighted	50	625.8	615.8	219.0	35.6	385.8	840.0	191.4	1033.1	0
triple6	hab2lo	5.25	short_weighted	50	328.1	334.3	141.4	42.3	185.7	491.7	101.2	597.7	0
triple6	hab2lo	5.5	flat	100	346.4	357.4	85.2	23.9	290.7	435.4	199.7	526.3	0
triple6	hab2lo	5.5	long_weighted	100	985.7	979.9	223.3	22.8	801.1	1180.1	547.1	1430.5	0
triple6	hab2lo	5.5	short_weighted	100	581.1	599.0	163.0	27.2	465.0	762.8	301.7	896.4	0
triple6	hab2lo	5.75	flat	50	530.6	525.3	94.7	18.0	443.4	628.5	346.4	684.2	0
triple6	hab2lo	5.75	long_weighted	50	1368.4	1366.3	249.0	18.2	1065.5	1602.9	977.4	1835.2	0
triple6	hab2lo	5.75	short_weighted	50	886.2	888.8	188.4	21.2	707.0	1068.6	528.7	1229.2	0
triple6	hab2lo	6.0	flat	300	707.1	712.8	108.1	15.2	609.9	818.7	517.1	949.3	0
triple6	hab2lo	6.0	long_weighted	300	1816.1	1820.7	260.5	14.3	1574.1	2079.6	1320.4	2301.8	0
triple6	hab2lo	6.0	short_weighted	300	1252.6	1271.1	206.1	16.2	1067.9	1463.3	897.2	1708.0	0
triple6	hab2lo	6.25	flat	50	895.3	885.7	119.0	13.4	776.1	1007.7	674.8	1101.9	0
triple6	hab2lo	6.25	long_weighted	50	2180.8	2201.0	300.4	13.6	1865.1	2544.2	1723.1	2684.5	0
triple6	hab2lo	6.25	short_weighted	50	1619.7	1616.5	223.7	13.8	1363.8	1855.6	1269.9	2037.6	0
