catalog	scan	target_yr	param	param_value	for_deg	budget_ph_s_um
hab2hi	slew	4.0	ST	24	40	0
hab2hi	slew	4.0	ST	24	44	0
hab2hi	slew	4.0	ST	24	47	0
hab2hi	slew	4.0	ST	24	51	0
hab2hi	slew	4.0	ST	24	54	0
hab2hi	slew	4.0	ST	24	58	0
hab2hi	slew	4.0	ST	24	61	0
hab2hi	slew	4.0	ST	24	65	0
hab2hi	slew	4.0	ST	24	69	0
hab2hi	slew	4.0	ST	24	72	0
hab2hi	slew	4.0	ST	24	76	0
hab2hi	slew	4.0	ST	24	79	0
hab2hi	slew	4.0	ST	24	83	0
hab2hi	slew	4.0	ST	24	86	0
hab2hi	slew	4.0	ST	24	90	0
hab2hi	slew	4.0	ST	26	40	0
hab2hi	slew	4.0	ST	26	44	0
hab2hi	slew	4.0	ST	26	47	0
hab2hi	slew	4.0	ST	26	51	0
hab2hi	slew	4.0	ST	26	54	0
hab2hi	slew	4.0	ST	26	58	0
hab2hi	slew	4.0	ST	26	61	0
hab2hi	slew	4.0	ST	26	65	0
hab2hi	slew	4.0	ST	26	69	0
hab2hi	slew	4.0	ST	26	72	0
hab2hi	slew	4.0	ST	26	76	0
hab2hi	slew	4.0	ST	26	79	0
hab2hi	slew	4.0	ST	26	83	0
hab2hi	slew	4.0	ST	26	86	0
hab2hi	slew	4.0	ST	26	90	0
hab2hi	slew	4.0	ST	28	40	0
hab2hi	slew	4.0	ST	28	44	0
hab2hi	slew	4.0	ST	28	47	0
hab2hi	slew	4.0	ST	28	51	0
hab2hi	slew	4.0	ST	28	54	0
hab2hi	slew	4.0	ST	28	58	0
hab2hi	slew	4.0	ST	28	61	0
hab2hi	slew	4.0	ST	28	65	0
hab2hi	slew	4.0	ST	28	69	0
hab2hi	slew	4.0	ST	28	72	0
hab2hi	slew	4.0	ST	28	76	0
hab2hi	slew	4.0	ST	28	79	0
hab2hi	slew	4.0	ST	28	83	0
hab2hi	slew	4.0	ST	28	86	0
hab2hi	slew	4.0	ST	28	90	0
hab2hi	slew	4.0	ST	30	40	0
hab2hi	slew	4.0	ST	30	44	0
hab2hi	slew	4.0	ST	30	47	0
hab2hi	slew	4.0	ST	30	51	0
hab2hi	slew	4.0	ST	30	54	0
hab2hi	slew	4.0	ST	30	58	0
hab2hi	slew	4.0	ST	30	61	0
hab2hi	slew	4.0	ST	30	65	0
hab2hi	slew	4.0	ST	30	69	0
hab2hi	slew	4.0	ST	30	72	0
hab2hi	slew	4.0	ST	30	76	0
hab2hi	slew	4.0	ST	30	79	0
hab2hi	slew	4.0	ST	30	83	0
hab2hi	slew	4.0	ST	30	86	0
hab2hi	slew	4.0	ST	30	90	0
hab2lo	slew	5.5	ST	1	40	0
hab2lo	slew	5.5	ST	1	44	0
hab2lo	slew	5.5	ST	1	47	94
hab2lo	slew	5.5	ST	1	51	206
hab2lo	slew	5.5	ST	1	54	386
hab2lo	slew	5.5	ST	1	58	703
hab2lo	slew	5.5	ST	1	61	1050
hab2lo	slew	5.5	ST	1	65	1079
hab2lo	slew	5.5	ST	1	69	1210
hab2lo	slew	5.5	ST	1	72	1279
hab2lo	slew	5.5	ST	1	76	1308
hab2lo	slew	5.5	ST	1	79	1348
hab2lo	slew	5.5	ST	1	83	1501
hab2lo	slew	5.5	ST	1	86	1501
hab2lo	slew	5.5	ST	1	90	nan
hab2lo	slew	5.5	ST	3	40	0
hab2lo	slew	5.5	ST	3	44	0
hab2lo	slew	5.5	ST	3	47	0
hab2lo	slew	5.5	ST	3	51	75
hab2lo	slew	5.5	ST	3	54	228
hab2lo	slew	5.5	ST	3	58	520
hab2lo	slew	5.5	ST	3	61	793
hab2lo	slew	5.5	ST	3	65	926
hab2lo	slew	5.5	ST	3	69	926
hab2lo	slew	5.5	ST	3	72	1001
hab2lo	slew	5.5	ST	3	76	1001
hab2lo	slew	5.5	ST	3	79	1105
hab2lo	slew	5.5	ST	3	83	1208
hab2lo	slew	5.5	ST	3	86	1246
hab2lo	slew	5.5	ST	3	90	1246
hab2lo	slew	5.5	ST	5	40	0
hab2lo	slew	5.5	ST	5	44	0
hab2lo	slew	5.5	ST	5	47	0
hab2lo	slew	5.5	ST	5	51	7
hab2lo	slew	5.5	ST	5	54	112
hab2lo	slew	5.5	ST	5	58	367
hab2lo	slew	5.5	ST	5	61	578
hab2lo	slew	5.5	ST	5	65	642
hab2lo	slew	5.5	ST	5	69	728
hab2lo	slew	5.5	ST	5	72	781
hab2lo	slew	5.5	ST	5	76	839
hab2lo	slew	5.5	ST	5	79	900
hab2lo	slew	5.5	ST	5	83	939
hab2lo	slew	5.5	ST	5	86	1025
hab2lo	slew	5.5	ST	5	90	1025
hab2lo	slew	5.5	ST	7	40	0
hab2lo	slew	5.5	ST	7	44	0
hab2lo	slew	5.5	ST	7	47	0
hab2lo	slew	5.5	ST	7	51	0
hab2lo	slew	5.5	ST	7	54	0
hab2lo	slew	5.5	ST	7	58	232
hab2lo	slew	5.5	ST	7	61	433
hab2lo	slew	5.5	ST	7	65	509
hab2lo	slew	5.5	ST	7	69	597
hab2lo	slew	5.5	ST	7	72	597
hab2lo	slew	5.5	ST	7	76	677
hab2lo	slew	5.5	ST	7	79	677
hab2lo	slew	5.5	ST	7	83	717
hab2lo	slew	5.5	ST	7	86	717
hab2lo	slew	5.5	ST	7	90	757
hab2lo	slew	5.5	ST	9	40	0
hab2lo	slew	5.5	ST	9	44	0
hab2lo	slew	5.5	ST	9	47	0
hab2lo	slew	5.5	ST	9	51	0
hab2lo	slew	5.5	ST	9	54	0
hab2lo	slew	5.5	ST	9	58	91
hab2lo	slew	5.5	ST	9	61	283
hab2lo	slew	5.5	ST	9	65	330
hab2lo	slew	5.5	ST	9	69	434
hab2lo	slew	5.5	ST	9	72	469
hab2lo	slew	5.5	ST	9	76	513
hab2lo	slew	5.5	ST	9	79	513
hab2lo	slew	5.5	ST	9	83	566
hab2lo	slew	5.5	ST	9	86	566
hab2lo	slew	5.5	ST	9	90	566
hab2lo	slew	5.5	ST	11	40	0
hab2lo	slew	5.5	ST	11	44	0
hab2lo	slew	5.5	ST	11	47	0
hab2lo	slew	5.5	ST	11	51	0
hab2lo	slew	5.5	ST	11	54	0
hab2lo	slew	5.5	ST	11	58	0
hab2lo	slew	5.5	ST	11	61	199
hab2lo	slew	5.5	ST	11	65	199
hab2lo	slew	5.5	ST	11	69	235
hab2lo	slew	5.5	ST	11	72	295
hab2lo	slew	5.5	ST	11	76	347
hab2lo	slew	5.5	ST	11	79	347
hab2lo	slew	5.5	ST	11	83	423
hab2lo	slew	5.5	ST	11	86	467
hab2lo	slew	5.5	ST	11	90	467
hab2lo	slew	5.5	ST	13	40	0
hab2lo	slew	5.5	ST	13	44	0
hab2lo	slew	5.5	ST	13	47	0
hab2lo	slew	5.5	ST	13	51	0
hab2lo	slew	5.5	ST	13	54	0
hab2lo	slew	5.5	ST	13	58	0
hab2lo	slew	5.5	ST	13	61	50
hab2lo	slew	5.5	ST	13	65	126
hab2lo	slew	5.5	ST	13	69	126
hab2lo	slew	5.5	ST	13	72	191
hab2lo	slew	5.5	ST	13	76	191
hab2lo	slew	5.5	ST	13	79	191
hab2lo	slew	5.5	ST	13	83	260
hab2lo	slew	5.5	ST	13	86	327
hab2lo	slew	5.5	ST	13	90	327
hab2lo	slew	5.5	ST	16	40	0
hab2lo	slew	5.5	ST	16	44	0
hab2lo	slew	5.5	ST	16	47	0
hab2lo	slew	5.5	ST	16	51	0
hab2lo	slew	5.5	ST	16	54	0
hab2lo	slew	5.5	ST	16	58	0
hab2lo	slew	5.5	ST	16	61	0
hab2lo	slew	5.5	ST	16	65	17
hab2lo	slew	5.5	ST	16	69	50
hab2lo	slew	5.5	ST	16	72	59
hab2lo	slew	5.5	ST	16	76	59
hab2lo	slew	5.5	ST	16	79	98
hab2lo	slew	5.5	ST	16	83	154
hab2lo	slew	5.5	ST	16	86	214
hab2lo	slew	5.5	ST	16	90	214
hab2lo	slew	5.5	ST	18	40	0
hab2lo	slew	5.5	ST	18	44	0
hab2lo	slew	5.5	ST	18	47	0
hab2lo	slew	5.5	ST	18	51	0
hab2lo	slew	5.5	ST	18	54	0
hab2lo	slew	5.5	ST	18	58	0
hab2lo	slew	5.5	ST	18	61	0
hab2lo	slew	5.5	ST	18	65	0
hab2lo	slew	5.5	ST	18	69	0
hab2lo	slew	5.5	ST	18	72	0
hab2lo	slew	5.5	ST	18	76	0
hab2lo	slew	5.5	ST	18	79	50
hab2lo	slew	5.5	ST	18	83	50
hab2lo	slew	5.5	ST	18	86	76
hab2lo	slew	5.5	ST	18	90	98
hab2lo	slew	5.5	ST	20	40	0
hab2lo	slew	5.5	ST	20	44	0
hab2lo	slew	5.5	ST	20	47	0
hab2lo	slew	5.5	ST	20	51	0
hab2lo	slew	5.5	ST	20	54	0
hab2lo	slew	5.5	ST	20	58	0
hab2lo	slew	5.5	ST	20	61	0
hab2lo	slew	5.5	ST	20	65	0
hab2lo	slew	5.5	ST	20	69	0
hab2lo	slew	5.5	ST	20	72	0
hab2lo	slew	5.5	ST	20	76	0
hab2lo	slew	5.5	ST	20	79	0
hab2lo	slew	5.5	ST	20	83	0
hab2lo	slew	5.5	ST	20	86	0
hab2lo	slew	5.5	ST	20	90	0
hab2lo	slew	5.5	ST	22	40	0
hab2lo	slew	5.5	ST	22	44	0
hab2lo	slew	5.5	ST	22	47	0
hab2lo	slew	5.5	ST	22	51	0
hab2lo	slew	5.5	ST	22	54	0
hab2lo	slew	5.5	ST	22	58	0
hab2lo	slew	5.5	ST	22	61	0
hab2lo	slew	5.5	ST	22	65	0
hab2lo	slew	5.5	ST	22	69	0
hab2lo	slew	5.5	ST	22	72	0
hab2lo	slew	5.5	ST	22	76	0
hab2lo	slew	5.5	ST	22	79	0
hab2lo	slew	5.5	ST	22	83	0
hab2lo	slew	5.5	ST	22	86	0
hab2lo	slew	5.5	ST	22	90	0
hab2lo	slew	5.5	ST	24	40	0
hab2lo	slew	5.5	ST	24	44	0
hab2lo	slew	5.5	ST	24	47	0
hab2lo	slew	5.5	ST	24	51	0
hab2lo	slew	5.5	ST	24	54	0
hab2lo	slew	5.5	ST	24	58	0
hab2lo	slew	5.5	ST	24	61	0
hab2lo	slew	5.5	ST	24	65	0
hab2lo	slew	5.5	ST	24	69	0
hab2lo	slew	5.5	ST	24	72	0
hab2lo	slew	5.5	ST	24	76	0
hab2lo	slew	5.5	ST	24	79	0
hab2lo	slew	5.5	ST	24	83	0
hab2lo	slew	5.5	ST	24	86	0
hab2lo	slew	5.5	ST	24	90	0
hab2lo	slew	5.5	ST	26	40	0
hab2lo	slew	5.5	ST	26	44	0
hab2lo	slew	5.5	ST	26	47	0
hab2lo	slew	5.5	ST	26	51	0
hab2lo	slew	5.5	ST	26	54	0
hab2lo	slew	5.5	ST	26	58	0
hab2lo	slew	5.5	ST	26	61	0
hab2lo	slew	5.5	ST	26	65	0
hab2lo	slew	5.5	ST	26	69	0
hab2lo	slew	5.5	ST	26	72	0
hab2lo	slew	5.5	ST	26	76	0
hab2lo	slew	5.5	ST	26	79	0
hab2lo	slew	5.5	ST	26	83	0
hab2lo	slew	5.5	ST	26	86	0
hab2lo	slew	5.5	ST	26	90	0
hab2lo	slew	5.5	ST	28	40	0
hab2lo	slew	5.5	ST	28	44	0
hab2lo	slew	5.5	ST	28	47	0
hab2lo	slew	5.5	ST	28	51	0
hab2lo	slew	5.5	ST	28	54	0
hab2lo	slew	5.5	ST	28	58	0
hab2lo	slew	5.5	ST	28	61	0
hab2lo	slew	5.5	ST	28	65	0
hab2lo	slew	5.5	ST	28	69	0
hab2lo	slew	5.5	ST	28	72	0
hab2lo	slew	5.5	ST	28	76	0
hab2lo	slew	5.5	ST	28	79	0
hab2lo	slew	5.5	ST	28	83	0
hab2lo	slew	5.5	ST	28	86	0
hab2lo	slew	5.5	ST	28	90	0
hab2lo	slew	5.5	ST	30	40	0
hab2lo	slew	5.5	ST	30	44	0
hab2lo	slew	5.5	ST	30	47	0
hab2lo	slew	5.5	ST	30	51	0
hab2lo	slew	5.5	ST	30	54	0
hab2lo	slew	5.5	ST	30	58	0
hab2lo	slew	5.5	ST	30	61	0
hab2lo	slew	5.5	ST	30	65	0
hab2lo	slew	5.5	ST	30	69	0
hab2lo	slew	5.5	ST	30	72	0
hab2lo	slew	5.5	ST	30	76	0
hab2lo	slew	5.5	ST	30	79	0
hab2lo	slew	5.5	ST	30	83	0
hab2lo	slew	5.5	ST	30	86	0
hab2lo	slew	5.5	ST	30	90	0
