catalog	scan	target_yr	param	param_value	for_deg	budget_ph_s_um
hab2hi	mag	4.0	M	7.71	44	0
hab2hi	mag	4.0	M	7.71	47	0
hab2hi	mag	4.0	M	7.71	51	0
hab2hi	mag	4.0	M	7.71	54	0
hab2hi	mag	4.0	M	7.71	58	39
hab2hi	mag	4.0	M	7.71	61	241
hab2hi	mag	4.0	M	7.71	65	241
hab2hi	mag	4.0	M	7.71	69	255
hab2hi	mag	4.0	M	7.71	72	255
hab2hi	mag	4.0	M	7.71	76	308
hab2hi	mag	4.0	M	7.71	79	392
hab2hi	mag	4.0	M	7.71	83	516
hab2hi	mag	4.0	M	7.71	86	560
hab2hi	mag	4.0	M	7.71	90	560
hab2hi	mag	4.0	M	7.93	40	0
hab2hi	mag	4.0	M	7.93	44	0
hab2hi	mag	4.0	M	7.93	47	0
hab2hi	mag	4.0	M	7.93	51	0
hab2hi	mag	4.0	M	7.93	54	0
hab2hi	mag	4.0	M	7.93	58	39
hab2hi	mag	4.0	M	7.93	61	241
hab2hi	mag	4.0	M	7.93	65	241
hab2hi	mag	4.0	M	7.93	69	255
hab2hi	mag	4.0	M	7.93	72	255
hab2hi	mag	4.0	M	7.93	76	308
hab2hi	mag	4.0	M	7.93	79	392
hab2hi	mag	4.0	M	7.93	83	516
hab2hi	mag	4.0	M	7.93	86	560
hab2hi	mag	4.0	M	7.93	90	560
hab2hi	mag	4.0	M	8.14	40	0
hab2hi	mag	4.0	M	8.14	44	0
hab2hi	mag	4.0	M	8.14	47	0
hab2hi	mag	4.0	M	8.14	51	0
hab2hi	mag	4.0	M	8.14	54	0
hab2hi	mag	4.0	M	8.14	58	39
hab2hi	mag	4.0	M	8.14	61	241
hab2hi	mag	4.0	M	8.14	65	241
hab2hi	mag	4.0	M	8.14	69	255
hab2hi	mag	4.0	M	8.14	72	255
hab2hi	mag	4.0	M	8.14	76	308
hab2hi	mag	4.0	M	8.14	79	392
hab2hi	mag	4.0	M	8.14	83	516
hab2hi	mag	4.0	M	8.14	86	560
hab2hi	mag	4.0	M	8.14	90	560
hab2hi	mag	4.0	M	8.36	40	0
hab2hi	mag	4.0	M	8.36	44	0
hab2hi	mag	4.0	M	8.36	47	0
hab2hi	mag	4.0	M	8.36	51	0
hab2hi	mag	4.0	M	8.36	54	0
hab2hi	mag	4.0	M	8.36	58	39
hab2hi	mag	4.0	M	8.36	61	241
hab2hi	mag	4.0	M	8.36	65	241
hab2hi	mag	4.0	M	8.36	69	255
hab2hi	mag	4.0	M	8.36	72	255
hab2hi	mag	4.0	M	8.36	76	308
hab2hi	mag	4.0	M	8.36	79	392
hab2hi	mag	4.0	M	8.36	83	516
hab2hi	mag	4.0	M	8.36	86	560
hab2hi	mag	4.0	M	8.36	90	560
hab2hi	mag	4.0	M	8.57	40	0
hab2hi	mag	4.0	M	8.57	44	0
hab2hi	mag	4.0	M	8.57	47	0
hab2hi	mag	4.0	M	8.57	51	0
hab2hi	mag	4.0	M	8.57	54	0
hab2hi	mag	4.0	M	8.57	58	39
hab2hi	mag	4.0	M	8.57	61	241
hab2hi	mag	4.0	M	8.57	65	241
hab2hi	mag	4.0	M	8.57	69	255
hab2hi	mag	4.0	M	8.57	72	255
hab2hi	mag	4.0	M	8.57	76	308
hab2hi	mag	4.0	M	8.57	79	392
hab2hi	mag	4.0	M	8.57	83	516
hab2hi	mag	4.0	M	8.57	86	560
hab2hi	mag	4.0	M	8.57	90	560
hab2hi	mag	4.0	M	8.79	40	0
hab2hi	mag	4.0	M	8.79	44	0
hab2hi	mag	4.0	M	8.79	47	0
hab2hi	mag	4.0	M	8.79	51	0
hab2hi	mag	4.0	M	8.79	54	0
hab2hi	mag	4.0	M	8.79	58	39
hab2hi	mag	4.0	M	8.79	61	241
hab2hi	mag	4.0	M	8.79	65	241
hab2hi	mag	4.0	M	8.79	69	255
hab2hi	mag	4.0	M	8.79	72	255
hab2hi	mag	4.0	M	8.79	76	308
hab2hi	mag	4.0	M	8.79	79	392
hab2hi	mag	4.0	M	8.79	83	516
hab2hi	mag	4.0	M	8.79	86	560
hab2hi	mag	4.0	M	8.79	90	560
hab2hi	mag	4.0	M	9	40	0
hab2hi	mag	4.0	M	9	44	0
hab2hi	mag	4.0	M	9	47	0
hab2hi	mag	4.0	M	9	51	0
hab2hi	mag	4.0	M	9	54	0
hab2hi	mag	4.0	M	9	58	39
hab2hi	mag	4.0	M	9	61	241
hab2hi	mag	4.0	M	9	65	241
hab2hi	mag	4.0	M	9	69	255
hab2hi	mag	4.0	M	9	72	255
hab2hi	mag	4.0	M	9	76	308
hab2hi	mag	4.0	M	9	79	392
hab2hi	mag	4.0	M	9	83	516
hab2hi	mag	4.0	M	9	86	560
hab2hi	mag	4.0	M	9	90	560
hab2lo	mag	5.5	M	6	40	0
hab2lo	mag	5.5	M	6	44	0
hab2lo	mag	5.5	M	6	47	0
hab2lo	mag	5.5	M	6	51	0
hab2lo	mag	5.5	M	6	54	0
hab2lo	mag	5.5	M	6	58	0
hab2lo	mag	5.5	M	6	61	100
hab2lo	mag	5.5	M	6	65	131
hab2lo	mag	5.5	M	6	69	201
hab2lo	mag	5.5	M	6	72	222
hab2lo	mag	5.5	M	6	76	288
hab2lo	mag	5.5	M	6	79	288
hab2lo	mag	5.5	M	6	83	384
hab2lo	mag	5.5	M	6	86	384
hab2lo	mag	5.5	M	6	90	384
hab2lo	mag	5.5	M	6.21	40	0
hab2lo	mag	5.5	M	6.21	44	0
hab2lo	mag	5.5	M	6.21	47	0
hab2lo	mag	5.5	M	6.21	51	0
hab2lo	mag	5.5	M	6.21	54	0
hab2lo	mag	5.5	M	6.21	58	0
hab2lo	mag	5.5	M	6.21	61	126
hab2lo	mag	5.5	M	6.21	65	142
hab2lo	mag	5.5	M	6.21	69	201
hab2lo	mag	5.5	M	6.21	72	222
hab2lo	mag	5.5	M	6.21	76	288
hab2lo	mag	5.5	M	6.21	79	288
hab2lo	mag	5.5	M	6.21	83	384
hab2lo	mag	5.5	M	6.21	86	384
hab2lo	mag	5.5	M	6.21	90	384
hab2lo	mag	5.5	M	6.43	40	0
hab2lo	mag	5.5	M	6.43	44	0
hab2lo	mag	5.5	M	6.43	47	0
hab2lo	mag	5.5	M	6.43	51	0
hab2lo	mag	5.5	M	6.43	54	0
hab2lo	mag	5.5	M	6.43	58	0
hab2lo	mag	5.5	M	6.43	61	126
hab2lo	mag	5.5	M	6.43	65	142
hab2lo	mag	5.5	M	6.43	69	201
hab2lo	mag	5.5	M	6.43	72	222
hab2lo	mag	5.5	M	6.43	76	288
hab2lo	mag	5.5	M	6.43	79	288
hab2lo	mag	5.5	M	6.43	83	384
hab2lo	mag	5.5	M	6.43	86	384
hab2lo	mag	5.5	M	6.43	90	384
hab2lo	mag	5.5	M	6.64	40	0
hab2lo	mag	5.5	M	6.64	44	0
hab2lo	mag	5.5	M	6.64	47	0
hab2lo	mag	5.5	M	6.64	51	0
hab2lo	mag	5.5	M	6.64	54	0
hab2lo	mag	5.5	M	6.64	58	0
hab2lo	mag	5.5	M	6.64	61	126
hab2lo	mag	5.5	M	6.64	65	142
hab2lo	mag	5.5	M	6.64	69	209
hab2lo	mag	5.5	M	6.64	72	281
hab2lo	mag	5.5	M	6.64	76	340
hab2lo	mag	5.5	M	6.64	79	340
hab2lo	mag	5.5	M	6.64	83	384
hab2lo	mag	5.5	M	6.64	86	384
hab2lo	mag	5.5	M	6.64	90	414
hab2lo	mag	5.5	M	6.86	40	0
hab2lo	mag	5.5	M	6.86	44	0
hab2lo	mag	5.5	M	6.86	47	0
hab2lo	mag	5.5	M	6.86	51	0
hab2lo	mag	5.5	M	6.86	54	0
hab2lo	mag	5.5	M	6.86	58	0
hab2lo	mag	5.5	M	6.86	61	126
hab2lo	mag	5.5	M	6.86	65	161
hab2lo	mag	5.5	M	6.86	69	209
hab2lo	mag	5.5	M	6.86	72	281
hab2lo	mag	5.5	M	6.86	76	340
hab2lo	mag	5.5	M	6.86	79	340
hab2lo	mag	5.5	M	6.86	83	384
hab2lo	mag	5.5	M	6.86	86	384
hab2lo	mag	5.5	M	6.86	90	414
hab2lo	mag	5.5	M	7.07	40	0
hab2lo	mag	5.5	M	7.07	44	0
hab2lo	mag	5.5	M	7.07	47	0
hab2lo	mag	5.5	M	7.07	51	0
hab2lo	mag	5.5	M	7.07	54	0
hab2lo	mag	5.5	M	7.07	58	0
hab2lo	mag	5.5	M	7.07	61	126
hab2lo	mag	5.5	M	7.07	65	161
hab2lo	mag	5.5	M	7.07	69	209
hab2lo	mag	5.5	M	7.07	72	281
hab2lo	mag	5.5	M	7.07	76	340
hab2lo	mag	5.5	M	7.07	79	340
hab2lo	mag	5.5	M	7.07	83	384
hab2lo	mag	5.5	M	7.07	86	384
hab2lo	mag	5.5	M	7.07	90	414
hab2lo	mag	5.5	M	7.29	40	0
hab2lo	mag	5.5	M	7.29	44	0
hab2lo	mag	5.5	M	7.29	47	0
hab2lo	mag	5.5	M	7.29	51	0
hab2lo	mag	5.5	M	7.29	54	0
hab2lo	mag	5.5	M	7.29	58	0
hab2lo	mag	5.5	M	7.29	61	126
hab2lo	mag	5.5	M	7.29	65	161
hab2lo	mag	5.5	M	7.29	69	209
hab2lo	mag	5.5	M	7.29	72	281
hab2lo	mag	5.5	M	7.29	76	340
hab2lo	mag	5.5	M	7.29	79	340
hab2lo	mag	5.5	M	7.29	83	384
hab2lo	mag	5.5	M	7.29	86	384
hab2lo	mag	5.5	M	7.29	90	414
hab2lo	mag	5.5	M	7.5	40	0
hab2lo	mag	5.5	M	7.5	44	0
hab2lo	mag	5.5	M	7.5	47	0
hab2lo	mag	5.5	M	7.5	51	0
hab2lo	mag	5.5	M	7.5	54	0
hab2lo	mag	5.5	M	7.5	58	0
hab2lo	mag	5.5	M	7.5	61	126
hab2lo	mag	5.5	M	7.5	65	161
hab2lo	mag	5.5	M	7.5	69	209
hab2lo	mag	5.5	M	7.5	72	281
hab2lo	mag	5.5	M	7.5	76	340
hab2lo	mag	5.5	M	7.5	79	340
hab2lo	mag	5.5	M	7.5	83	384
hab2lo	mag	5.5	M	7.5	86	384
hab2lo	mag	5.5	M	7.5	90	414
hab2lo	mag	5.5	M	7.71	40	0
hab2lo	mag	5.5	M	7.71	44	0
hab2lo	mag	5.5	M	7.71	47	0
hab2lo	mag	5.5	M	7.71	51	0
hab2lo	mag	5.5	M	7.71	54	0
hab2lo	mag	5.5	M	7.71	58	0
hab2lo	mag	5.5	M	7.71	61	126
hab2lo	mag	5.5	M	7.71	65	161
hab2lo	mag	5.5	M	7.71	69	209
hab2lo	mag	5.5	M	7.71	72	281
hab2lo	mag	5.5	M	7.71	76	340
hab2lo	mag	5.5	M	7.71	79	340
hab2lo	mag	5.5	M	7.71	83	384
hab2lo	mag	5.5	M	7.71	86	384
hab2lo	mag	5.5	M	7.71	90	414
hab2lo	mag	5.5	M	7.93	40	0
hab2lo	mag	5.5	M	7.93	44	0
hab2lo	mag	5.5	M	7.93	47	0
hab2lo	mag	5.5	M	7.93	51	0
hab2lo	mag	5.5	M	7.93	54	0
hab2lo	mag	5.5	M	7.93	58	0
hab2lo	mag	5.5	M	7.93	61	126
hab2lo	mag	5.5	M	7.93	65	161
hab2lo	mag	5.5	M	7.93	69	209
hab2lo	mag	5.5	M	7.93	72	281
hab2lo	mag	5.5	M	7.93	76	340
hab2lo	mag	5.5	M	7.93	79	340
hab2lo	mag	5.5	M	7.93	83	384
hab2lo	mag	5.5	M	7.93	86	384
hab2lo	mag	5.5	M	7.93	90	414
hab2lo	mag	5.5	M	8.14	40	0
hab2lo	mag	5.5	M	8.14	44	0
hab2lo	mag	5.5	M	8.14	47	0
hab2lo	mag	5.5	M	8.14	51	0
hab2lo	mag	5.5	M	8.14	54	0
hab2lo	mag	5.5	M	8.14	58	0
hab2lo	mag	5.5	M	8.14	61	126
hab2lo	mag	5.5	M	8.14	65	161
hab2lo	mag	5.5	M	8.14	69	209
hab2lo	mag	5.5	M	8.14	72	281
hab2lo	mag	5.5	M	8.14	76	340
hab2lo	mag	5.5	M	8.14	79	340
hab2lo	mag	5.5	M	8.14	83	384
hab2lo	mag	5.5	M	8.14	86	384
hab2lo	mag	5.5	M	8.14	90	414
hab2lo	mag	5.5	M	8.36	40	0
hab2lo	mag	5.5	M	8.36	44	0
hab2lo	mag	5.5	M	8.36	47	0
hab2lo	mag	5.5	M	8.36	51	0
hab2lo	mag	5.5	M	8.36	54	0
hab2lo	mag	5.5	M	8.36	58	0
hab2lo	mag	5.5	M	8.36	61	126
hab2lo	mag	5.5	M	8.36	65	161
hab2lo	mag	5.5	M	8.36	69	209
hab2lo	mag	5.5	M	8.36	72	281
hab2lo	mag	5.5	M	8.36	76	340
hab2lo	mag	5.5	M	8.36	79	340
hab2lo	mag	5.5	M	8.36	83	384
hab2lo	mag	5.5	M	8.36	86	384
hab2lo	mag	5.5	M	8.36	90	414
hab2lo	mag	5.5	M	8.57	40	0
hab2lo	mag	5.5	M	8.57	44	0
hab2lo	mag	5.5	M	8.57	47	0
hab2lo	mag	5.5	M	8.57	51	0
hab2lo	mag	5.5	M	8.57	54	0
hab2lo	mag	5.5	M	8.57	58	0
hab2lo	mag	5.5	M	8.57	61	126
hab2lo	mag	5.5	M	8.57	65	161
hab2lo	mag	5.5	M	8.57	69	209
hab2lo	mag	5.5	M	8.57	72	281
hab2lo	mag	5.5	M	8.57	76	340
hab2lo	mag	5.5	M	8.57	79	340
hab2lo	mag	5.5	M	8.57	83	384
hab2lo	mag	5.5	M	8.57	86	384
hab2lo	mag	5.5	M	8.57	90	414
hab2lo	mag	5.5	M	8.79	40	0
hab2lo	mag	5.5	M	8.79	44	0
hab2lo	mag	5.5	M	8.79	47	0
hab2lo	mag	5.5	M	8.79	51	0
hab2lo	mag	5.5	M	8.79	54	0
hab2lo	mag	5.5	M	8.79	58	0
hab2lo	mag	5.5	M	8.79	61	126
hab2lo	mag	5.5	M	8.79	65	161
hab2lo	mag	5.5	M	8.79	69	209
hab2lo	mag	5.5	M	8.79	72	281
hab2lo	mag	5.5	M	8.79	76	340
hab2lo	mag	5.5	M	8.79	79	340
hab2lo	mag	5.5	M	8.79	83	384
hab2lo	mag	5.5	M	8.79	86	384
hab2lo	mag	5.5	M	8.79	90	414
hab2lo	mag	5.5	M	9	40	0
hab2lo	mag	5.5	M	9	44	0
hab2lo	mag	5.5	M	9	47	0
hab2lo	mag	5.5	M	9	51	0
hab2lo	mag	5.5	M	9	54	0
hab2lo	mag	5.5	M	9	58	0
hab2lo	mag	5.5	M	9	61	126
hab2lo	mag	5.5	M	9	65	161
hab2lo	mag	5.5	M	9	69	209
hab2lo	mag	5.5	M	9	72	281
hab2lo	mag	5.5	M	9	76	340
hab2lo	mag	5.5	M	9	79	340
hab2lo	mag	5.5	M	9	83	384
hab2lo	mag	5.5	M	9	86	384
hab2lo	mag	5.5	M	9	90	414
hab2hi	slew	4.0	ST	1	40	1457
hab2hi	slew	4.0	ST	1	44	123
hab2hi	slew	4.0	ST	1	47	378
hab2hi	slew	4.0	ST	1	51	567
hab2hi	slew	4.0	ST	1	54	737
hab2hi	slew	4.0	ST	1	58	926
hab2hi	slew	4.0	ST	1	61	1446
hab2hi	slew	4.0	ST	1	65	1446
hab2hi	slew	4.0	ST	1	69	1524
