timestamp	arm	catalog	null_order	mtime_target_yr	budget_family	throughput	eff_tot	endpoint_ph_s_um	mtime_achieved_yr	residual_yr	wall_s
2026-07-27T18:30:47+00:00	control	hab2hi	4	5.5	flat	0.15	0.09	641.2475680378299	5.456441	-0.0436	81.0
2026-07-27T18:32:04+00:00	control	hab2hi	4	5.5	long_weighted	0.15	0.09	1474.0284679370313	5.48848	-0.0115	77.2
2026-07-27T18:33:30+00:00	control	hab2hi	4	5.5	short_weighted	0.15	0.09	1080.0868589024117	5.519296	0.0193	85.9
2026-07-27T18:34:44+00:00	control	hab2hi	4	6.0	flat	0.15	0.09	943.8606382439627	6.010475	0.0105	73.4
2026-07-27T18:35:45+00:00	control	hab2hi	4	6.0	long_weighted	0.15	0.09	2240.477373567249	6.026246	0.0262	61.5
2026-07-27T18:37:07+00:00	control	hab2hi	4	6.0	short_weighted	0.15	0.09	1840.6589940687443	6.034226	0.0342	82.1
2026-07-27T18:37:57+00:00	penalized	hab2hi	4	5.5	flat	0.075	0.045	0	7.653264	2.1533	37.1
2026-07-27T18:38:37+00:00	penalized	hab2hi	4	5.5	long_weighted	0.075	0.045	0	7.653264	2.1533	39.6
2026-07-27T18:39:15+00:00	penalized	hab2hi	4	5.5	short_weighted	0.075	0.045	0	7.653264	2.1533	38.7
2026-07-27T18:39:54+00:00	penalized	hab2hi	4	6.0	flat	0.075	0.045	0	7.653264	1.6533	38.9
2026-07-27T18:40:32+00:00	penalized	hab2hi	4	6.0	long_weighted	0.075	0.045	0	7.653264	1.6533	38.2
2026-07-27T18:41:09+00:00	penalized	hab2hi	4	6.0	short_weighted	0.075	0.045	0	7.653264	1.6533	36.8
2026-07-27T18:42:12+00:00	control	hab2lo	4	7.5	flat	0.15	0.09	596.4540450284709	7.531434	0.0314	53.8
2026-07-27T18:43:15+00:00	control	hab2lo	4	7.5	long_weighted	0.15	0.09	1263.4727919413303	7.500222	0.0002	62.4
2026-07-27T18:44:20+00:00	control	hab2lo	4	7.5	short_weighted	0.15	0.09	1001.1676156684871	7.49038	-0.0096	65.3
2026-07-27T18:45:48+00:00	control	hab2lo	4	8.0	flat	0.15	0.09	786.1975970321053	7.977108	-0.0229	88.3
