nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
144	1.41349	1.92281	1.36033	1.11107	False
145	16.4136	22.5988	1.37683	1.12455	True
146	1.82329	2.43562	1.33584	1.09107	False
147	1.33141	1.82318	1.36937	1.11845	False
148	1.53756	2.22278	1.44566	1.18076	False
149	10.7004	18.3188	1.71198	1.39829	True
151	2.47729	3.21374	1.29728	1.05957	False
152	1.37538	2.13344	1.55117	1.26694	False
153	2.28866	3.45211	1.50836	1.23198	False
154	3.01613	3.96328	1.31403	1.07326	False
155	5.9088	8.01147	1.35585	1.10742	False
156	3.53089	4.88597	1.38378	1.13023	False
157	2.83121	4.60708	1.62725	1.32908	False
158	1.4729	2.06063	1.39903	1.14268	False
159	2.29026	3.35414	1.46452	1.19617	False
160	2.00143	2.72731	1.36268	1.11299	False
161	4.70324	7.50249	1.59518	1.30289	False
163	4.45159	6.49223	1.45841	1.19118	False
164	6.84748	10.7448	1.56916	1.28164	False
165	4.23851	6.42898	1.5168	1.23887	False
167	4.27608	6.6744	1.56087	1.27487	False
169	4.62057	6.4768	1.40173	1.14489	False
170	4.30601	6.14969	1.42817	1.16648	False
171	1.61596	2.66902	1.65167	1.34903	False
172	5.42105	8.34685	1.53971	1.25759	False
173	1.42267	1.99987	1.40572	1.14815	False
174	11.4139	16.0532	1.40646	1.14875	True
175	2.25713	3.12268	1.38347	1.12997	False
177	3.39763	4.55226	1.33984	1.09433	False
178	2.28616	3.62365	1.58504	1.29461	False
179	4.10589	6.2956	1.53331	1.25236	False
180	1.2247	1.71672	1.40175	1.1449	False
181	3.70489	4.96863	1.3411	1.09537	False
183	2.35821	3.6952	1.56695	1.27984	False
184	1.18799	1.50078	1.26329	1.03182	False
185	2.11166	2.4467	1.15866	0.946355	False
186	2.83539	3.96478	1.39832	1.1421	False
188	1.52394	2.00608	1.31638	1.07518	False
189	2.05838	3.81205	1.85196	1.51262	False
191	3.50962	5.37096	1.53036	1.24994	False
192	1.81908	2.61541	1.43777	1.17432	False
193	2.22859	2.86212	1.28427	1.04895	False
195	4.69997	7.41187	1.577	1.28805	False
196	2.58321	3.31876	1.28474	1.04934	False
197	22.4233	42.3361	1.88804	1.54209	True
200	3.397	4.77148	1.40461	1.14724	False
201	2.84674	3.60642	1.26686	1.03473	False
202	15.9172	22.1936	1.39431	1.13883	True
203	4.16988	6.03075	1.44626	1.18126	False
204	3.30242	5.03502	1.52465	1.24528	False
206	3.09613	4.06736	1.31369	1.07298	False
207	1.5334	2.46603	1.60821	1.31354	False
208	2.01824	2.5134	1.24535	1.01716	False
209	4.86318	6.2759	1.29049	1.05403	False
210	1.99299	3.43543	1.72376	1.40791	False
211	1.14399	2.00562	1.75317	1.43193	False
212	30.0972	52.4309	1.74205	1.42285	True
213	2.44622	3.67625	1.50283	1.22746	False
215	15.6227	28.6821	1.83593	1.49953	True
216	1.66914	2.32004	1.38996	1.13527	False
217	1.606	2.48306	1.54612	1.26282	False
218	7.1685	10.6863	1.49072	1.21757	False
219	1.19122	1.61686	1.35731	1.10861	False
220	4.64763	6.22391	1.33916	1.09378	False
221	2.87931	3.88831	1.35043	1.10299	False
222	2.08849	3.1446	1.50568	1.22979	False
223	0.534553	0.80449	1.50498	1.22922	False
224	1.66848	2.46852	1.4795	1.20841	False
225	1.7315	2.42253	1.3991	1.14274	False
226	1.37746	1.80424	1.30984	1.06983	False
227	6.76698	9.78359	1.44578	1.18087	False
228	3.44654	4.72923	1.37217	1.12074	False
229	7.27994	9.7999	1.34615	1.09949	False
230	2.08953	3.1971	1.53005	1.2497	False
231	1.56945	2.24798	1.43233	1.16988	False
233	0.919658	1.26303	1.37337	1.12172	False
235	2.03463	2.53293	1.24491	1.0168	False
236	2.91914	3.60792	1.23596	1.00949	False
237	15.7665	26.5924	1.68663	1.37759	True
238	9.16572	14.0316	1.53088	1.25037	False
239	4.49244	5.81829	1.29513	1.05782	False
240	4.20677	5.77776	1.37344	1.12178	False
241	1.06198	1.30607	1.22985	1.0045	False
242	1.01218	1.46206	1.44447	1.17979	False
243	2.6981	3.33746	1.23697	1.01031	False
244	1.22002	1.78332	1.46172	1.19388	False
245	1.4464	1.97602	1.36616	1.11584	False
246	1.43884	1.87686	1.30442	1.06541	False
247	0.82247	1.11081	1.35058	1.10311	False
248	4.15724	6.55289	1.57626	1.28744	False
249	4.90753	6.4398	1.31223	1.07179	False
250	0.935342	1.21526	1.29926	1.0612	False
251	1.09555	1.47546	1.34678	1.10001	False
252	2.5088	3.34283	1.33244	1.0883	False
253	13.3896	19.0026	1.41921	1.15916	True
254	12.3596	18.0025	1.45656	1.18967	True
