design	catalog	target_yr	short_budget	long_budget	mtime_yr
bracewell4	hab2hi	5.5	848.3429	16926.6662	10.5967
bracewell4	hab2hi	5.5	848.3429	25958.8659	10.5967
bracewell4	hab2hi	5.5	848.3429	39810.7171	10.5967
bracewell4	hab2hi	5.5	1301.0252	100.0000	5.7697
bracewell4	hab2hi	5.5	1301.0252	153.3608	5.7853
bracewell4	hab2hi	5.5	1301.0252	235.1953	5.8714
bracewell4	hab2hi	5.5	1301.0252	360.6973	5.9660
bracewell4	hab2hi	5.5	1301.0252	553.1681	6.1353
bracewell4	hab2hi	5.5	1301.0252	848.3429	6.2114
bracewell4	hab2hi	5.5	1301.0252	1301.0252	6.5115
bracewell4	hab2hi	5.5	1301.0252	1995.2623	6.8435
bracewell4	hab2hi	5.5	1301.0252	3059.9497	7.3547
bracewell4	hab2hi	5.5	1301.0252	4692.7625	8.0167
bracewell4	hab2hi	5.5	1301.0252	7196.8567	9.1087
bracewell4	hab2hi	5.5	1301.0252	11037.1550	10.6472
bracewell4	hab2hi	5.5	1301.0252	16926.6662	10.6472
bracewell4	hab2hi	5.5	1301.0252	25958.8659	10.6472
bracewell4	hab2hi	5.5	1301.0252	39810.7171	10.6472
bracewell4	hab2hi	5.5	1995.2623	100.0000	6.1536
bracewell4	hab2hi	5.5	1995.2623	153.3608	6.1807
bracewell4	hab2hi	5.5	1995.2623	235.1953	6.1952
bracewell4	hab2hi	5.5	1995.2623	360.6973	6.2483
bracewell4	hab2hi	5.5	1995.2623	553.1681	6.3392
bracewell4	hab2hi	5.5	1995.2623	848.3429	6.5384
bracewell4	hab2hi	5.5	1995.2623	1301.0252	6.8690
bracewell4	hab2hi	5.5	1995.2623	1995.2623	7.1277
bracewell4	hab2hi	5.5	1995.2623	3059.9497	7.6103
bracewell4	hab2hi	5.5	1995.2623	4692.7625	8.3263
bracewell4	hab2hi	5.5	1995.2623	7196.8567	9.3981
bracewell4	hab2hi	5.5	1995.2623	11037.1550	10.9953
bracewell4	hab2hi	5.5	1995.2623	16926.6662	10.9953
bracewell4	hab2hi	5.5	1995.2623	25958.8659	10.9953
bracewell4	hab2hi	5.5	1995.2623	39810.7171	10.9953
bracewell4	hab2hi	5.5	3059.9497	100.0000	6.4912
bracewell4	hab2hi	5.5	3059.9497	153.3608	6.5498
bracewell4	hab2hi	5.5	3059.9497	235.1953	6.5807
bracewell4	hab2hi	5.5	3059.9497	360.6973	6.6422
bracewell4	hab2hi	5.5	3059.9497	553.1681	6.7850
bracewell4	hab2hi	5.5	3059.9497	848.3429	6.9512
bracewell4	hab2hi	5.5	3059.9497	1301.0252	7.0884
bracewell4	hab2hi	5.5	3059.9497	1995.2623	7.4228
bracewell4	hab2hi	5.5	3059.9497	3059.9497	8.0357
bracewell4	hab2hi	5.5	3059.9497	4692.7625	8.6817
bracewell4	hab2hi	5.5	3059.9497	7196.8567	9.7905
bracewell4	hab2hi	5.5	3059.9497	11037.1550	11.4575
bracewell4	hab2hi	5.5	3059.9497	16926.6662	11.4575
bracewell4	hab2hi	5.5	3059.9497	25958.8659	11.4575
bracewell4	hab2hi	5.5	3059.9497	39810.7171	11.4575
bracewell4	hab2hi	5.5	4692.7625	100.0000	6.9851
bracewell4	hab2hi	5.5	4692.7625	153.3608	7.0115
bracewell4	hab2hi	5.5	4692.7625	235.1953	7.0580
bracewell4	hab2hi	5.5	4692.7625	360.6973	7.1583
bracewell4	hab2hi	5.5	4692.7625	553.1681	7.2351
bracewell4	hab2hi	5.5	4692.7625	848.3429	7.3186
bracewell4	hab2hi	5.5	4692.7625	1301.0252	7.7718
bracewell4	hab2hi	5.5	4692.7625	1995.2623	7.9979
bracewell4	hab2hi	5.5	4692.7625	3059.9497	8.5790
bracewell4	hab2hi	5.5	4692.7625	4692.7625	9.1647
bracewell4	hab2hi	5.5	4692.7625	7196.8567	10.2411
bracewell4	hab2hi	5.5	4692.7625	11037.1550	10.2411
bracewell4	hab2hi	5.5	4692.7625	16926.6662	10.2411
bracewell4	hab2hi	5.5	4692.7625	25958.8659	10.2411
bracewell4	hab2hi	5.5	4692.7625	39810.7171	10.2411
bracewell4	hab2hi	5.5	7196.8567	100.0000	7.7748
bracewell4	hab2hi	5.5	7196.8567	153.3608	7.8029
bracewell4	hab2hi	5.5	7196.8567	235.1953	7.8109
bracewell4	hab2hi	5.5	7196.8567	360.6973	7.9139
bracewell4	hab2hi	5.5	7196.8567	553.1681	7.8631
bracewell4	hab2hi	5.5	7196.8567	848.3429	8.1461
bracewell4	hab2hi	5.5	7196.8567	1301.0252	8.4044
bracewell4	hab2hi	5.5	7196.8567	1995.2623	8.6864
bracewell4	hab2hi	5.5	7196.8567	3059.9497	9.1721
bracewell4	hab2hi	5.5	7196.8567	4692.7625	10.0405
bracewell4	hab2hi	5.5	7196.8567	7196.8567	10.0405
bracewell4	hab2hi	5.5	7196.8567	11037.1550	10.0405
bracewell4	hab2hi	5.5	7196.8567	16926.6662	10.0405
bracewell4	hab2hi	5.5	7196.8567	25958.8659	10.0405
bracewell4	hab2hi	5.5	7196.8567	39810.7171	10.0405
bracewell4	hab2hi	5.5	11037.1550	100.0000	8.7058
bracewell4	hab2hi	5.5	11037.1550	153.3608	8.7275
bracewell4	hab2hi	5.5	11037.1550	235.1953	8.7519
bracewell4	hab2hi	5.5	11037.1550	360.6973	8.8118
bracewell4	hab2hi	5.5	11037.1550	553.1681	8.9197
bracewell4	hab2hi	5.5	11037.1550	848.3429	9.0860
bracewell4	hab2hi	5.5	11037.1550	1301.0252	9.2791
bracewell4	hab2hi	5.5	11037.1550	1995.2623	9.5669
bracewell4	hab2hi	5.5	11037.1550	3059.9497	10.0162
bracewell4	hab2hi	5.5	11037.1550	4692.7625	10.0162
bracewell4	hab2hi	5.5	11037.1550	7196.8567	10.0162
bracewell4	hab2hi	5.5	11037.1550	11037.1550	10.0162
bracewell4	hab2hi	5.5	11037.1550	16926.6662	10.0162
bracewell4	hab2hi	5.5	11037.1550	25958.8659	10.0162
bracewell4	hab2hi	5.5	11037.1550	39810.7171	10.0162
bracewell4	hab2hi	5.5	16926.6662	100.0000	9.9657
bracewell4	hab2hi	5.5	16926.6662	153.3608	10.0463
bracewell4	hab2hi	5.5	16926.6662	235.1953	10.0463
bracewell4	hab2hi	5.5	16926.6662	360.6973	10.0463
bracewell4	hab2hi	5.5	16926.6662	553.1681	10.0463
bracewell4	hab2hi	5.5	16926.6662	848.3429	10.0463
bracewell4	hab2hi	5.5	16926.6662	1301.0252	10.0463
bracewell4	hab2hi	5.5	16926.6662	1995.2623	10.0463
bracewell4	hab2hi	5.5	16926.6662	3059.9497	10.0463
bracewell4	hab2hi	5.5	16926.6662	4692.7625	10.0463
bracewell4	hab2hi	5.5	16926.6662	7196.8567	10.0463
bracewell4	hab2hi	5.5	16926.6662	11037.1550	10.0463
bracewell4	hab2hi	5.5	16926.6662	16926.6662	10.0463
bracewell4	hab2hi	5.5	16926.6662	25958.8659	10.0463
bracewell4	hab2hi	5.5	16926.6662	39810.7171	10.0463
bracewell4	hab2hi	5.5	25958.8659	100.0000	11.6656
bracewell4	hab2hi	5.5	25958.8659	153.3608	11.6656
bracewell4	hab2hi	5.5	25958.8659	235.1953	11.6656
bracewell4	hab2hi	5.5	25958.8659	360.6973	11.6656
bracewell4	hab2hi	5.5	25958.8659	553.1681	11.6656
bracewell4	hab2hi	5.5	25958.8659	848.3429	11.6656
bracewell4	hab2hi	5.5	25958.8659	1301.0252	11.6656
bracewell4	hab2hi	5.5	25958.8659	1995.2623	11.6656
bracewell4	hab2hi	5.5	25958.8659	3059.9497	11.6656
bracewell4	hab2hi	5.5	25958.8659	4692.7625	11.6656
bracewell4	hab2hi	5.5	25958.8659	7196.8567	11.6656
bracewell4	hab2hi	5.5	25958.8659	11037.1550	11.6656
bracewell4	hab2hi	5.5	25958.8659	16926.6662	11.6656
bracewell4	hab2hi	5.5	25958.8659	25958.8659	11.6656
bracewell4	hab2hi	5.5	25958.8659	39810.7171	11.6656
bracewell4	hab2hi	5.5	39810.7171	100.0000	14.2447
bracewell4	hab2hi	5.5	39810.7171	153.3608	14.2447
bracewell4	hab2hi	5.5	39810.7171	235.1953	14.2447
bracewell4	hab2hi	5.5	39810.7171	360.6973	14.2447
bracewell4	hab2hi	5.5	39810.7171	553.1681	14.2447
bracewell4	hab2hi	5.5	39810.7171	848.3429	14.2447
bracewell4	hab2hi	5.5	39810.7171	1301.0252	14.2447
bracewell4	hab2hi	5.5	39810.7171	1995.2623	14.2447
bracewell4	hab2hi	5.5	39810.7171	3059.9497	14.2447
bracewell4	hab2hi	5.5	39810.7171	4692.7625	14.2447
bracewell4	hab2hi	5.5	39810.7171	7196.8567	14.2447
bracewell4	hab2hi	5.5	39810.7171	11037.1550	14.2447
bracewell4	hab2hi	5.5	39810.7171	16926.6662	14.2447
bracewell4	hab2hi	5.5	39810.7171	25958.8659	14.2447
bracewell4	hab2hi	5.5	39810.7171	39810.7171	14.2447
bracewell4	hab2lo	7.5	100.0000	100.0000	7.4309
bracewell4	hab2lo	7.5	100.0000	153.3608	7.4648
bracewell4	hab2lo	7.5	100.0000	235.1953	7.6067
bracewell4	hab2lo	7.5	100.0000	360.6973	7.6141
bracewell4	hab2lo	7.5	100.0000	553.1681	7.7685
bracewell4	hab2lo	7.5	100.0000	848.3429	7.9218
bracewell4	hab2lo	7.5	100.0000	1301.0252	8.2325
bracewell4	hab2lo	7.5	100.0000	1995.2623	8.7116
bracewell4	hab2lo	7.5	100.0000	3059.9497	9.5469
bracewell4	hab2lo	7.5	100.0000	4692.7625	10.6673
bracewell4	hab2lo	7.5	100.0000	7196.8567	10.6673
bracewell4	hab2lo	7.5	100.0000	11037.1550	10.6673
bracewell4	hab2lo	7.5	100.0000	16926.6662	10.6673
bracewell4	hab2lo	7.5	100.0000	25958.8659	10.6673
bracewell4	hab2lo	7.5	100.0000	39810.7171	10.6673
bracewell4	hab2lo	7.5	153.3608	100.0000	7.4515
bracewell4	hab2lo	7.5	153.3608	153.3608	7.4929
bracewell4	hab2lo	7.5	153.3608	235.1953	7.6202
bracewell4	hab2lo	7.5	153.3608	360.6973	7.6570
bracewell4	hab2lo	7.5	153.3608	553.1681	7.8344
bracewell4	hab2lo	7.5	153.3608	848.3429	7.9581
bracewell4	hab2lo	7.5	153.3608	1301.0252	8.2566
bracewell4	hab2lo	7.5	153.3608	1995.2623	8.7477
bracewell4	hab2lo	7.5	153.3608	3059.9497	9.5751
bracewell4	hab2lo	7.5	153.3608	4692.7625	10.6710
bracewell4	hab2lo	7.5	153.3608	7196.8567	10.6710
bracewell4	hab2lo	7.5	153.3608	11037.1550	10.6710
bracewell4	hab2lo	7.5	153.3608	16926.6662	10.6710
bracewell4	hab2lo	7.5	153.3608	25958.8659	10.6710
bracewell4	hab2lo	7.5	153.3608	39810.7171	10.6710
bracewell4	hab2lo	7.5	235.1953	100.0000	7.5113
bracewell4	hab2lo	7.5	235.1953	153.3608	7.6106
bracewell4	hab2lo	7.5	235.1953	235.1953	7.6566
bracewell4	hab2lo	7.5	235.1953	360.6973	7.7046
bracewell4	hab2lo	7.5	235.1953	553.1681	7.9388
bracewell4	hab2lo	7.5	235.1953	848.3429	8.0392
bracewell4	hab2lo	7.5	235.1953	1301.0252	8.3261
bracewell4	hab2lo	7.5	235.1953	1995.2623	8.7885
bracewell4	hab2lo	7.5	235.1953	3059.9497	9.6162
bracewell4	hab2lo	7.5	235.1953	4692.7625	10.7216
bracewell4	hab2lo	7.5	235.1953	7196.8567	10.7216
bracewell4	hab2lo	7.5	235.1953	11037.1550	10.7216
bracewell4	hab2lo	7.5	235.1953	16926.6662	10.7216
bracewell4	hab2lo	7.5	235.1953	25958.8659	10.7216
bracewell4	hab2lo	7.5	235.1953	39810.7171	10.7216
bracewell4	hab2lo	7.5	360.6973	100.0000	7.6673
bracewell4	hab2lo	7.5	360.6973	153.3608	7.7081
bracewell4	hab2lo	7.5	360.6973	235.1953	7.7258
bracewell4	hab2lo	7.5	360.6973	360.6973	7.8942
bracewell4	hab2lo	7.5	360.6973	553.1681	7.9475
bracewell4	hab2lo	7.5	360.6973	848.3429	8.2007
bracewell4	hab2lo	7.5	360.6973	1301.0252	8.3581
bracewell4	hab2lo	7.5	360.6973	1995.2623	8.9387
bracewell4	hab2lo	7.5	360.6973	3059.9497	9.7151
bracewell4	hab2lo	7.5	360.6973	4692.7625	10.8295
bracewell4	hab2lo	7.5	360.6973	7196.8567	10.8295
bracewell4	hab2lo	7.5	360.6973	11037.1550	10.8295
bracewell4	hab2lo	7.5	360.6973	16926.6662	10.8295
bracewell4	hab2lo	7.5	360.6973	25958.8659	10.8295
bracewell4	hab2lo	7.5	360.6973	39810.7171	10.8295
bracewell4	hab2lo	7.5	553.1681	100.0000	7.7567
bracewell4	hab2lo	7.5	553.1681	153.3608	7.7799
bracewell4	hab2lo	7.5	553.1681	235.1953	7.8345
bracewell4	hab2lo	7.5	553.1681	360.6973	7.9336
bracewell4	hab2lo	7.5	553.1681	553.1681	7.9924
bracewell4	hab2lo	7.5	553.1681	848.3429	8.2798
bracewell4	hab2lo	7.5	553.1681	1301.0252	8.5650
bracewell4	hab2lo	7.5	553.1681	1995.2623	9.0893
bracewell4	hab2lo	7.5	553.1681	3059.9497	9.8708
bracewell4	hab2lo	7.5	553.1681	4692.7625	10.8492
bracewell4	hab2lo	7.5	553.1681	7196.8567	10.8492
bracewell4	hab2lo	7.5	553.1681	11037.1550	10.8492
