nstar	snr_ref	snr_t6	ratio	ratio_equal_area	in_ref_top50
1222	0.88325	1.27898	1.44803	1.18271	False
1223	1.78055	2.31582	1.30062	1.0623	False
1224	4.79183	7.00072	1.46097	1.19327	False
1225	0.732144	1.04344	1.42518	1.16404	False
1226	1.12726	1.4516	1.28773	1.05178	False
1227	2.90696	3.81308	1.31171	1.07136	False
1228	1.44948	1.96459	1.35537	1.10702	False
1229	2.41398	3.09736	1.2831	1.04799	False
1230	0.831157	1.1718	1.40984	1.15151	False
1231	0.646918	0.835827	1.29201	1.05527	False
1233	0.999794	1.33411	1.33438	1.08988	False
1234	4.16049	5.79766	1.39351	1.13817	False
1235	1.02437	1.37127	1.33865	1.09337	False
1236	1.58767	2.16481	1.36351	1.11367	False
1237	2.58766	3.51971	1.36019	1.11096	False
1238	1.12393	1.56205	1.38982	1.13516	False
1239	1.13088	1.62984	1.44122	1.17714	False
1240	1.72141	2.55705	1.48544	1.21326	False
1241	1.19955	1.70601	1.42221	1.16161	False
1242	4.00225	6.31347	1.57748	1.28844	False
1243	0.684894	0.854033	1.24696	1.01847	False
1244	0.821815	1.20686	1.46853	1.19944	False
1245	1.4879	2.0299	1.36427	1.11429	False
1246	1.0956	1.51767	1.38524	1.13142	False
1247	3.86364	5.81191	1.50426	1.22863	False
1248	0.810366	1.10714	1.36622	1.11589	False
1249	1.05588	1.38001	1.30697	1.06749	False
1250	1.48762	2.01176	1.35234	1.10454	False
1251	1.10089	1.47172	1.33685	1.09189	False
1252	1.1809	1.55095	1.31337	1.07272	False
1253	1.59531	2.10703	1.32076	1.07876	False
1254	0.79023	1.02532	1.2975	1.05976	False
1255	1.81439	2.63792	1.45389	1.18749	False
1256	1.37773	1.77173	1.28597	1.05034	False
1257	0.90075	1.11263	1.23522	1.00889	False
1259	1.89403	2.45967	1.29864	1.06069	False
1260	0.655625	0.80565	1.22883	1.00367	False
1261	1.27113	1.68816	1.32808	1.08474	False
1262	6.77347	9.88062	1.45872	1.19144	False
1263	0.661635	0.817611	1.23574	1.00932	False
1264	0.973889	1.3504	1.3866	1.13253	False
1265	1.4985	2.04326	1.36353	1.11369	False
1266	0.939551	1.25826	1.33921	1.09382	False
1268	2.00693	2.61656	1.30376	1.06487	False
1269	1.28115	1.79212	1.39884	1.14252	False
1270	1.09898	1.41782	1.29012	1.05372	False
1274	2.61991	3.90775	1.49156	1.21826	False
1275	1.30121	1.71791	1.32024	1.07833	False
1276	2.48991	3.81359	1.53162	1.25097	False
1277	0.806393	0.975639	1.20988	0.988191	False
1278	0.69559	0.84461	1.21424	0.991748	False
1279	0.87866	1.29325	1.47184	1.20215	False
1280	0.997578	1.3265	1.32973	1.08608	False
1281	2.33585	3.19781	1.36901	1.11817	False
1282	1.30732	1.79253	1.37115	1.11991	False
1283	1.05042	1.57707	1.50137	1.22627	False
1285	5.25783	7.41719	1.41069	1.15221	False
1286	1.06643	1.33886	1.25546	1.02541	False
1288	0.92255	1.22933	1.33254	1.08837	False
1289	4.94631	6.80524	1.37582	1.12373	False
1290	0.656316	0.85334	1.3002	1.06196	False
1291	1.43292	2.25118	1.57105	1.28318	False
1292	0.813939	1.1341	1.39335	1.13804	False
1293	1.58699	2.19606	1.38379	1.13024	False
1294	0.961126	1.26853	1.31984	1.078	False
1295	1.29049	1.7158	1.32958	1.08596	False
1296	0.759084	0.991464	1.30613	1.06681	False
1297	1.00006	1.29828	1.2982	1.06033	False
1298	1.51359	2.24339	1.48216	1.21058	False
1299	1.09054	1.36599	1.25258	1.02307	False
1301	2.18647	3.0325	1.38694	1.1328	False
1302	1.88551	2.74967	1.45831	1.1911	False
1303	2.37824	3.28305	1.38045	1.12751	False
1304	5.2682	6.9853	1.32594	1.08298	False
1305	0.480844	0.604505	1.25718	1.02682	False
1308	1.87448	2.90559	1.55008	1.26605	False
1309	1.36398	1.88353	1.38091	1.12788	False
1310	0.62618	0.913327	1.45857	1.19131	False
1312	2.8042	3.94081	1.40533	1.14782	False
1313	3.20288	4.92842	1.53875	1.2568	False
1314	0.702665	0.911926	1.29781	1.06001	False
1316	1.64381	2.35858	1.43483	1.17192	False
1317	0.721512	0.95287	1.32066	1.07867	False
1318	1.19307	1.74406	1.46182	1.19397	False
1319	1.34987	1.69488	1.25559	1.02553	False
1320	3.62814	5.02303	1.38446	1.13078	False
1321	0.674742	0.868432	1.28706	1.05123	False
1322	3.9542	5.30917	1.34267	1.09665	False
1323	1.07159	1.32315	1.23475	1.0085	False
1324	2.33405	4.38563	1.87898	1.53469	False
1325	0.853431	1.08309	1.2691	1.03656	False
1326	1.15084	1.49497	1.29903	1.061	False
1327	0.515835	0.668635	1.29622	1.05871	False
1328	0.788636	1.03261	1.30937	1.06945	False
1329	1.87711	2.67996	1.4277	1.1661	False
1330	1.74282	2.20428	1.26478	1.03303	False
1331	0.792052	1.07912	1.36243	1.11279	False
1332	1.3452	1.86201	1.38419	1.13057	False
1333	1.43709	2.03911	1.41891	1.15892	False
1334	1.03863	1.48577	1.4305	1.16839	False
1335	1.17968	1.66386	1.41044	1.152	False
1336	0.555395	0.689339	1.24117	1.01375	False
1337	0.992799	1.53305	1.54417	1.26123	False
1338	3.03142	4.26902	1.40826	1.15022	False
1339	1.12874	1.55514	1.37776	1.12531	False
1340	0.946487	1.26986	1.34166	1.09582	False
1342	1.54346	2.14342	1.38871	1.13425	False
1344	9.25271	14.8525	1.6052	1.31107	False
1345	0.620761	0.779798	1.2562	1.02602	False
1346	5.74067	8.83724	1.53941	1.25734	False
1347	1.25372	1.64881	1.31513	1.07415	False
1348	1.56213	2.06867	1.32426	1.08161	False
1349	0.647768	0.819687	1.2654	1.03354	False
1350	1.85695	2.50168	1.3472	1.10035	False
1351	0.595966	0.8332	1.39807	1.14189	False
1352	0.80609	1.19895	1.48737	1.21483	False
1353	1.66023	2.23267	1.3448	1.09839	False
1354	3.62217	4.883	1.34809	1.10107	False
1355	6.66471	10.1665	1.52543	1.24592	False
1356	3.68978	5.19926	1.4091	1.1509	False
1357	3.63573	5.17097	1.42227	1.16166	False
1358	2.21389	2.9585	1.33634	1.09148	False
1360	0.605817	0.754876	1.24605	1.01773	False
1361	0.503001	0.652933	1.29808	1.06023	False
1362	0.506399	0.765133	1.51093	1.23408	False
1363	1.10207	1.52642	1.38505	1.13127	False
1364	0.846012	1.0692	1.26381	1.03224	False
1365	0.882758	1.11553	1.26369	1.03214	False
1366	4.01829	5.92238	1.47386	1.2038	False
1368	0.829484	1.07878	1.30054	1.06224	False
1369	0.68716	0.866637	1.26119	1.0301	False
1370	2.95262	4.31567	1.46164	1.19382	False
1371	1.10237	1.62142	1.47085	1.20134	False
1372	0.885707	1.51715	1.71293	1.39906	False
1373	1.53432	2.06878	1.34833	1.10128	False
1374	1.93497	2.58672	1.33683	1.09188	False
1375	0.591546	0.77125	1.30379	1.06489	False
1376	0.834847	1.18589	1.42049	1.16021	False
1377	1.4104	1.97951	1.40352	1.14635	False
1378	3.56026	4.70664	1.32199	1.07976	False
1379	1.55994	1.97992	1.26923	1.03667	False
1380	2.78282	3.86602	1.38924	1.13469	False
1381	1.04768	1.39412	1.33068	1.08685	False
1382	1.88867	2.7076	1.4336	1.17092	False
1383	1.67483	2.10275	1.2555	1.02545	False
1384	2.9506	4.51697	1.53086	1.25036	False
1385	1.09245	1.43855	1.3168	1.07552	False
1386	0.555501	0.756512	1.36186	1.11232	False
1387	0.542515	0.67054	1.23598	1.00951	False
1388	2.75046	3.56205	1.29508	1.05777	False
1389	1.83753	2.62007	1.42587	1.1646	False
1390	3.71708	5.35674	1.44111	1.17705	False
1391	1.36899	1.96594	1.43606	1.17292	False
1392	1.63756	2.20331	1.34548	1.09895	False
1393	0.624476	0.888862	1.42337	1.16256	False
1394	1.21843	1.70086	1.39595	1.14017	False
1395	2.14538	2.90937	1.35611	1.10763	False
1396	0.814528	1.1332	1.39123	1.13631	False
1397	1.1147	1.64931	1.4796	1.20849	False
1398	1.54897	2.04086	1.31755	1.07613	False
1399	1.25713	1.76949	1.40756	1.14965	False
1400	1.80061	2.99161	1.66144	1.35701	False
1401	0.739612	0.919046	1.24261	1.01492	False
1402	1.52549	2.06063	1.35079	1.10328	False
1403	5.01243	6.38293	1.27342	1.04009	False
1404	1.38134	1.75448	1.27013	1.0374	False
1405	4.91913	7.6489	1.55493	1.27001	False
1406	0.899621	1.12862	1.25455	1.02468	False
1407	1.36398	1.63797	1.20087	0.980833	False
1409	0.792837	0.968028	1.22097	0.997246	False
1410	1.24476	1.55068	1.24577	1.0175	False
1411	1.43356	1.86491	1.30089	1.06253	False
1412	0.883352	1.11872	1.26645	1.0344	False
1413	1.31851	1.6856	1.27841	1.04416	False
1414	0.72802	1.01936	1.40018	1.14362	False
1415	2.79855	4.08257	1.45882	1.19151	False
1416	0.588377	0.714633	1.21458	0.992032	False
1417	0.693201	0.901934	1.30112	1.06271	False
1418	2.13205	3.05891	1.43472	1.17183	False
1420	1.05879	1.38201	1.30527	1.0661	False
1421	0.499899	0.627315	1.25488	1.02495	False
1422	1.14242	1.56348	1.36856	1.1178	False
1423	0.889984	1.12422	1.2632	1.03174	False
1424	0.946014	1.23727	1.30788	1.06823	False
1425	0.820953	1.08627	1.32318	1.08073	False
1426	1.81308	2.9248	1.61317	1.31758	False
1427	2.29642	3.03511	1.32167	1.0795	False
1428	2.27726	2.8246	1.24035	1.01308	False
1429	5.8144	9.29143	1.598	1.3052	False
1430	0.622298	0.781682	1.25612	1.02596	False
1431	1.65905	2.13307	1.28571	1.05013	False
1432	3.98535	6.54532	1.64234	1.34141	False
1433	1.06516	1.44339	1.35509	1.10679	False
1435	2.43881	3.21687	1.31903	1.07734	False
1436	0.866295	1.0994	1.26908	1.03655	False
1437	4.23057	5.88758	1.39167	1.13667	False
1438	0.636002	0.795105	1.25016	1.02109	False
1439	0.72328	0.930796	1.28691	1.05111	False
1440	0.704546	0.972986	1.38101	1.12796	False
1441	6.50318	12.0053	1.84607	1.50781	False
