catalog	null_order	wl_um	star	localzodi	exozodi	total
hab2lo	4	4.767	1.7173	15.2297	140.8914	157.8384
hab2lo	4	5.011	1.2278	22.3049	145.7223	169.255
hab2lo	4	5.268	0.8766	32.8447	150.4966	184.2179
hab2lo	4	5.538	0.6261	48.0868	155.0089	203.7217
hab2lo	4	5.822	0.4472	69.5981	159.2435	229.2888
hab2lo	4	6.121	0.3188	99.1688	163.24	262.7276
hab2lo	4	6.435	0.227	138.8466	166.8717	305.9454
hab2lo	4	6.765	0.1615	190.8911	170.2544	361.307
hab2lo	4	7.112	0.1147	257.696	173.3347	431.1454
hab2lo	4	7.476	0.0815	341.6914	176.0958	517.8687
hab2lo	4	7.86	0.0579	445.2361	178.5382	623.8322
hab2lo	4	8.263	0.0412	570.5067	180.6141	751.162
hab2lo	4	8.686	0.0292	719.3362	182.4075	901.7729
hab2lo	4	9.132	0.0208	893.1267	183.9272	1077.0747
hab2lo	4	9.6	0.0147	1092.7368	185.0883	1277.8399
hab2lo	4	10.093	0.0105	1318.4002	185.8637	1504.2743
hab2lo	4	10.61	0.0074	1569.6749	186.3067	1755.989
hab2lo	4	11.154	0.0053	1845.4245	186.5576	2031.9873
hab2lo	4	11.726	0.0037	2143.8329	186.4621	2330.2987
hab2lo	4	12.328	0.0026	2462.452	186.0548	2648.5095
hab2lo	4	12.96	0.0019	2798.2765	185.383	2983.6614
hab2lo	4	13.624	0.0013	3147.8414	184.4341	3332.2768
hab2lo	4	14.323	0.0009	3507.3355	183.0803	3690.4168
hab2lo	4	15.058	0.0007	3872.7231	181.5703	4054.294
hab2lo	4	15.83	0.0005	4239.8668	179.7727	4419.64
hab2lo	4	16.642	0.0003	4604.6466	177.8324	4782.4793
hab2lo	4	17.495	0.0002	4963.0679	175.6922	5138.7603
hab2lo	4	18.216	0.0002	5245.3519	173.8326	5419.1847
